woman |woman,2014100111,9571,19,0.001985163514784244
woman |woman,2014100110,9126,17,0.0018628095551172475
woman |woman,2014100823,5727,1,1.7461148943600488E-4
woman |woman,2014100113,11543,12,0.0010395910941696266
woman |woman,2014100822,900,2,0.0022222222222222222
woman |woman,2014100112,11651,30,0.0025748862758561497
woman |woman,2014100119,11403,24,0.002104709287029729
woman |woman,2014100118,10294,53,0.005148630270060229
woman |woman,2014100604,4638,1,2.1561017680034498E-4
woman |woman,2014100605,8675,2,2.3054755043227666E-4
woman |woman,2014100700,5207,3,5.761474937584022E-4
woman |woman,2014100914,3191,8,0.0025070510811657787
woman |woman,2014100602,8176,2,2.446183953033268E-4
woman |woman,2014100915,1000,3,0.003
woman |woman,2014100603,9384,1,1.0656436487638534E-4
woman |woman,2014100912,2545,6,0.002357563850687623
woman |woman,2014100608,13680,4,2.9239766081871346E-4
woman |woman,2014100913,6771,7,0.0010338207059518536
woman |woman,2014100609,13287,9,6.773538044705351E-4
woman |woman,2014100810,6053,27,0.004460598050553445
woman |woman,2014100606,4334,1,2.3073373327180433E-4
woman |woman,2014100607,6194,5,8.072328059412334E-4
woman |woman,2014100707,4802,7,0.0014577259475218659
woman |woman,2014100813,7061,4,5.66491998300524E-4
woman |woman,2014100708,5400,14,0.0025925925925925925
woman |woman,2014100814,6011,5,8.318083513558476E-4
woman |woman,2014100705,2740,0,0.0
woman |woman,2014100811,6604,7,0.0010599636583888553
woman |woman,2014100706,3398,0,0.0
woman |woman,2014100812,5896,12,0.0020352781546811396
woman |woman,2014100817,6743,18,0.002669434969598102
woman |woman,2014100600,15771,9,5.706676811869887E-4
woman |woman,2014100703,5792,1,1.7265193370165745E-4
woman |woman,2014100818,7400,9,0.0012162162162162162
woman |woman,2014100601,8669,6,6.921213519437074E-4
woman |woman,2014100704,3010,1,3.322259136212625E-4
woman |woman,2014100815,5628,2,3.5536602700781805E-4
woman |woman,2014100701,13455,1,7.432181345224824E-5
woman |woman,2014100816,7857,11,0.0014000254550082729
woman |woman,2014100702,8524,4,4.692632566870014E-4
woman |woman,2014100509,9287,6,6.460643910843114E-4
woman |woman,2014100508,6498,5,7.694675284702986E-4
woman |woman,2014100819,4300,10,0.002325581395348837
woman |woman,2014100507,16911,2,1.182662172550411E-4
woman |woman,2014100403,6749,3,4.4451029782189953E-4
woman |woman,2014100506,11836,1,8.448800270361608E-5
woman |woman,2014100402,6613,1,1.5121729925903524E-4
woman |woman,2014100505,6487,1,1.5415446277169725E-4
woman |woman,2014100401,4570,3,6.564551422319475E-4
woman |woman,2014100504,3861,1,2.59000259000259E-4
woman |woman,2014100400,5285,15,0.002838221381267739
woman |woman,2014100503,4540,1,2.2026431718061675E-4
woman |woman,2014100709,5572,10,0.0017946877243359654
woman |woman,2014100407,7111,2,2.812543945999156E-4
woman |woman,2014100406,10763,3,2.78732695345164E-4
woman |woman,2014100501,6148,3,4.8796356538711777E-4
woman |woman,2014100405,10366,0,0.0
woman |woman,2014100500,11540,0,0.0
woman |woman,2014100404,3086,1,3.240440699935191E-4
woman |woman,2014100409,9932,13,0.0013089005235602095
woman |woman,2014100408,10458,3,2.8686173264486515E-4
woman |woman,2014100903,4141,2,4.829751267809708E-4
woman |woman,2014100613,12260,10,8.156606851549756E-4
woman |woman,2014100904,4854,0,0.0
woman |woman,2014100614,10247,4,3.9035815360593347E-4
woman |woman,2014100905,7777,3,3.8575286100038574E-4
woman |woman,2014100615,8801,9,0.0010226110669242132
woman |woman,2014100710,7431,10,0.0013457139012245996
woman |woman,2014100906,3505,3,8.559201141226819E-4
woman |woman,2014100616,10833,8,7.384842610541863E-4
woman |woman,2014100711,13474,8,5.937360843105239E-4
woman |woman,2014100617,11523,7,6.074806907923284E-4
