campaign |campaigns |campaign,2014100716,9756,13,0.0013325133251332513
campaign |campaigns |campaign,2014100800,3418,4,0.0011702750146284377
campaign |campaigns |campaign,2014100717,12018,6,4.992511233150275E-4
campaign |campaigns |campaign,2014100801,4912,2,4.0716612377850165E-4
campaign |campaigns |campaign,2014100718,9824,11,0.0011197068403908795
campaign |campaigns |campaign,2014100802,4582,3,6.547359231776517E-4
campaign |campaigns |campaign,2014100719,8904,10,0.0011230907457322552
campaign |campaigns |campaign,2014100803,4750,2,4.210526315789474E-4
campaign |campaigns |campaign,2014100712,10146,5,4.928050463236743E-4
campaign |campaigns |campaign,2014100804,8238,1,1.2138868657441127E-4
campaign |campaigns |campaign,2014100610,8565,15,0.0017513134851138354
campaign |campaigns |campaign,2014100713,7382,7,9.48252506095909E-4
campaign |campaigns |campaign,2014100805,6904,1,1.4484356894553882E-4
campaign |campaigns |campaign,2014100611,8676,7,8.068234209313047E-4
campaign |campaigns |campaign,2014100714,9294,16,0.0017215407789972026
campaign |campaigns |campaign,2014100806,7696,1,1.2993762993762994E-4
campaign |campaigns |campaign,2014100612,7761,10,0.0012884937508053087
campaign |campaigns |campaign,2014100715,8494,11,0.0012950317871438662
campaign |campaigns |campaign,2014100807,6298,2,3.1756113051762465E-4
campaign |campaigns |campaign,2014100519,13547,6,4.429024876356389E-4
campaign |campaigns |campaign,2014100809,5933,8,0.0013483903590089331
campaign |campaigns |campaign,2014100518,12589,18,0.001429819683850981
campaign |campaigns |campaign,2014100808,7916,8,0.001010611419909045
campaign |campaigns |campaign,2014100410,8297,14,0.0016873568759792697
campaign |campaigns |campaign,2014100412,8252,6,7.270964614638875E-4
campaign |campaigns |campaign,2014100515,6526,12,0.0018387986515476554
campaign |campaigns |campaign,2014100411,8736,4,4.578754578754579E-4
campaign |campaigns |campaign,2014100514,7337,14,0.001908136840670574
campaign |campaigns |campaign,2014100414,8029,7,8.718395815170009E-4
campaign |campaigns |campaign,2014100517,16635,6,3.606853020739405E-4
campaign |campaigns |campaign,2014100413,7649,16,0.0020917767028369723
campaign |campaigns |campaign,2014100516,7164,7,9.77107761027359E-4
