punch |punch |punches,2014100518,12589,2,1.588688537612201E-4
punch |punch |punches,2014100808,7916,2,2.5265285497726126E-4
punch |punch |punches,2014100410,8297,5,6.02627455706882E-4
punch |punch |punches,2014100412,8252,3,3.6354823073194375E-4
punch |punch |punches,2014100515,6526,1,1.5323322096230462E-4
punch |punch |punches,2014100411,8736,1,1.1446886446886447E-4
punch |punch |punches,2014100514,7337,5,6.814774430966335E-4
punch |punch |punches,2014100414,8029,5,6.227425582264292E-4
punch |punch |punches,2014100517,16635,3,1.8034265103697024E-4
punch |punch |punches,2014100413,7649,2,2.6147208785462153E-4
punch |punch |punches,2014100516,7164,0,0.0
punch |punch |punches,2014100416,8535,5,5.858230814294083E-4
punch |punch |punches,2014100511,8203,6,7.314397171766427E-4
punch |punch |punches,2014100415,9288,0,0.0
punch |punch |punches,2014100510,7389,3,4.060089321965083E-4
punch |punch |punches,2014100418,8794,1,1.1371389583807141E-4
punch |punch |punches,2014100513,8653,7,8.089679879810471E-4
punch |punch |punches,2014100417,9001,5,5.554938340184424E-4
punch |punch |punches,2014100512,7658,0,0.0
punch |punch |punches,2014100908,14247,1,7.019021548396153E-5
punch |punch |punches,2014100907,7751,0,0.0
punch |punch |punches,2014100419,8630,1,1.1587485515643106E-4
punch |punch |punches,2014100909,1000,0,0.0
punch |punch |punches,2014100721,11447,6,5.241548003843802E-4
punch |punch |punches,2014100722,8294,7,8.439836026042923E-4
punch |punch |punches,2014100720,10198,2,1.9611688566385565E-4
punch |punch |punches,2014100723,5300,2,3.773584905660377E-4
punch |punch |punches,2014100520,14801,3,2.0268900749949328E-4
punch |punch |punches,2014100523,12605,3,2.380007933359778E-4
punch |punch |punches,2014100522,10915,9,8.245533669262483E-4
punch |punch |punches,2014100521,14363,14,9.747267283993595E-4
punch |punch |punches,2014100623,8800,1,1.1363636363636364E-4
punch |punch |punches,2014100622,9000,7,7.777777777777777E-4
punch |punch |punches,2014100621,9007,0,0.0
punch |punch |punches,2014100620,8998,3,3.3340742387197157E-4
punch |punch |punches,2014093011,9741,1,1.026588645929576E-4
punch |punch |punches,2014093012,11191,3,2.6807255830578144E-4
punch |punch |punches,2014093013,5267,1,1.8986140117714068E-4
punch |punch |punches,2014093017,3899,0,0.0
punch |punch |punches,2014093018,99,1,0.010101010101010102
punch |punch |punches,2014093019,8564,4,4.6707146193367583E-4
