thursday |Thursday,2014100714,9294,10,0.0010759629868732515
thursday |Thursday,2014100806,7696,1,1.2993762993762994E-4
thursday |Thursday,2014100612,7761,11,0.0014173431258858395
thursday |Thursday,2014100715,8494,7,8.241111372733694E-4
thursday |Thursday,2014100807,6298,3,4.76341695776437E-4
thursday |Thursday,2014100519,13547,0,0.0
thursday |Thursday,2014100809,5933,2,3.370975897522333E-4
thursday |Thursday,2014100518,12589,3,2.3830328064183018E-4
thursday |Thursday,2014100808,7916,3,3.7897928246589187E-4
thursday |Thursday,2014100410,8297,5,6.02627455706882E-4
thursday |Thursday,2014100412,8252,2,2.423654871546292E-4
thursday |Thursday,2014100515,6526,0,0.0
thursday |Thursday,2014100411,8736,2,2.2893772893772894E-4
thursday |Thursday,2014100514,7337,3,4.088864658579801E-4
thursday |Thursday,2014100414,8029,0,0.0
thursday |Thursday,2014100517,16635,2,1.2022843402464683E-4
thursday |Thursday,2014100413,7649,7,9.151523074911753E-4
thursday |Thursday,2014100516,7164,2,2.7917364600781687E-4
thursday |Thursday,2014100416,8535,5,5.858230814294083E-4
thursday |Thursday,2014100511,8203,4,4.876264781177618E-4
thursday |Thursday,2014100415,9288,2,2.153316106804479E-4
thursday |Thursday,2014100510,7389,1,1.3533631073216944E-4
thursday |Thursday,2014100418,8794,3,3.411416875142142E-4
thursday |Thursday,2014100513,8653,1,1.1556685542586386E-4
thursday |Thursday,2014100417,9001,1,1.1109876680368848E-4
thursday |Thursday,2014100512,7658,2,2.6116479498563595E-4
thursday |Thursday,2014100908,14247,10,7.019021548396153E-4
thursday |Thursday,2014100907,7751,9,0.001161140498000258
thursday |Thursday,2014100419,8630,2,2.317497103128621E-4
thursday |Thursday,2014100909,1000,0,0.0
thursday |Thursday,2014100721,11447,7,6.115139337817769E-4
thursday |Thursday,2014100722,8294,5,6.028454304316373E-4
thursday |Thursday,2014100720,10198,8,7.844675426554226E-4
thursday |Thursday,2014100723,5300,3,5.660377358490566E-4
thursday |Thursday,2014100520,14801,7,4.7294101749881766E-4
thursday |Thursday,2014100523,12605,3,2.380007933359778E-4
