protester |protesters |protester |Protesters,2014100415,9288,0,0.0
protester |protesters |protester |Protesters,2014100510,7389,1,1.3533631073216944E-4
protester |protesters |protester |Protesters,2014100418,8794,0,0.0
protester |protesters |protester |Protesters,2014100513,8653,4,4.6226742170345545E-4
protester |protesters |protester |Protesters,2014100417,9001,1,1.1109876680368848E-4
protester |protesters |protester |Protesters,2014100512,7658,1,1.3058239749281798E-4
protester |protesters |protester |Protesters,2014100908,14247,3,2.105706464518846E-4
protester |protesters |protester |Protesters,2014100907,7751,0,0.0
protester |protesters |protester |Protesters,2014100419,8630,1,1.1587485515643106E-4
protester |protesters |protester |Protesters,2014100909,1000,1,0.001
protester |protesters |protester |Protesters,2014100721,11447,1,8.73591333973967E-5
protester |protesters |protester |Protesters,2014100722,8294,2,2.4113817217265494E-4
protester |protesters |protester |Protesters,2014100720,10198,0,0.0
protester |protesters |protester |Protesters,2014100723,5300,2,3.773584905660377E-4
protester |protesters |protester |Protesters,2014100520,14801,1,6.756300249983109E-5
protester |protesters |protester |Protesters,2014100523,12605,0,0.0
protester |protesters |protester |Protesters,2014100522,10915,3,2.7485112230874945E-4
protester |protesters |protester |Protesters,2014100521,14363,4,2.7849335097124555E-4
protester |protesters |protester |Protesters,2014100623,8800,0,0.0
protester |protesters |protester |Protesters,2014100622,9000,0,0.0
protester |protesters |protester |Protesters,2014100621,9007,0,0.0
protester |protesters |protester |Protesters,2014100620,8998,0,0.0
protester |protesters |protester |Protesters,2014093011,9741,0,0.0
protester |protesters |protester |Protesters,2014093012,11191,3,2.6807255830578144E-4
protester |protesters |protester |Protesters,2014093013,5267,2,3.7972280235428136E-4
protester |protesters |protester |Protesters,2014093017,3899,1,2.5647601949217746E-4
protester |protesters |protester |Protesters,2014093018,99,0,0.0
protester |protesters |protester |Protesters,2014093019,8564,2,2.3353573096683791E-4
