kobane |Kobane,2014100721,11447,3,2.620774001921901E-4
kobane |Kobane,2014100722,8294,2,2.4113817217265494E-4
kobane |Kobane,2014100720,10198,10,9.805844283192783E-4
kobane |Kobane,2014100723,5300,1,1.8867924528301886E-4
kobane |Kobane,2014100520,14801,10,6.756300249983109E-4
kobane |Kobane,2014100523,12605,4,3.1733439111463705E-4
kobane |Kobane,2014100522,10915,0,0.0
kobane |Kobane,2014100521,14363,6,4.177400264568683E-4
kobane |Kobane,2014100623,8800,2,2.2727272727272727E-4
kobane |Kobane,2014100622,9000,0,0.0
kobane |Kobane,2014100621,9007,1,1.1102475852115021E-4
kobane |Kobane,2014100620,8998,0,0.0
kobane |Kobane,2014093011,9741,0,0.0
kobane |Kobane,2014093012,11191,0,0.0
kobane |Kobane,2014093013,5267,0,0.0
kobane |Kobane,2014093017,3899,2,5.129520389843549E-4
kobane |Kobane,2014093018,99,0,0.0
kobane |Kobane,2014093019,8564,4,4.6707146193367583E-4
