australia |Australia,2014100807,6298,33,0.005239758653540806
australia |Australia,2014100519,13547,54,0.00398612238872075
australia |Australia,2014100809,5933,32,0.0053935614360357325
australia |Australia,2014100518,12589,73,0.005798713162284534
australia |Australia,2014100808,7916,30,0.0037897928246589186
australia |Australia,2014100410,8297,33,0.003977341207665421
australia |Australia,2014100412,8252,31,0.0037566650508967523
australia |Australia,2014100515,6526,48,0.007355194606190622
australia |Australia,2014100411,8736,21,0.002403846153846154
australia |Australia,2014100514,7337,36,0.004906637590295761
australia |Australia,2014100414,8029,50,0.006227425582264292
australia |Australia,2014100517,16635,42,0.0025247971145175834
australia |Australia,2014100413,7649,36,0.004706497581383188
australia |Australia,2014100516,7164,23,0.0032104969290898937
australia |Australia,2014100416,8535,66,0.00773286467486819
australia |Australia,2014100511,8203,71,0.008655369986590273
australia |Australia,2014100415,9288,110,0.011843238587424634
australia |Australia,2014100510,7389,31,0.004195425632697252
australia |Australia,2014100418,8794,29,0.003297702979304071
australia |Australia,2014100513,8653,32,0.0036981393736276436
australia |Australia,2014100417,9001,24,0.0026663704032885236
australia |Australia,2014100512,7658,60,0.007834943849569079
australia |Australia,2014100908,14247,27,0.0018951358180669614
australia |Australia,2014100907,7751,8,0.0010321248871113405
australia |Australia,2014100419,8630,23,0.0026651216685979143
australia |Australia,2014100909,1000,2,0.002
australia |Australia,2014100721,11447,52,0.004542674936664629
australia |Australia,2014100722,8294,46,0.005546177959971064
australia |Australia,2014100720,10198,88,0.00862914296920965
australia |Australia,2014100723,5300,36,0.006792452830188679
australia |Australia,2014100520,14801,41,0.002770083102493075
australia |Australia,2014100523,12605,56,0.004442681475604919
australia |Australia,2014100522,10915,60,0.005497022446174988
australia |Australia,2014100521,14363,67,0.0046647636287683635
australia |Australia,2014100623,8800,53,0.0060227272727272725
australia |Australia,2014100622,9000,98,0.010888888888888889
australia |Australia,2014100621,9007,82,0.009104030198734318
australia |Australia,2014100620,8998,92,0.010224494332073794
australia |Australia,2014093011,9741,87,0.008931321219587311
australia |Australia,2014093012,11191,73,0.006523098918774015
australia |Australia,2014093013,5267,20,0.0037972280235428137
australia |Australia,2014093017,3899,26,0.006668376506796614
australia |Australia,2014093018,99,1,0.010101010101010102
australia |Australia,2014093019,8564,50,0.005838393274170948
