court |courts |court,2014100513,8653,10,0.0011556685542586387
court |courts |court,2014100417,9001,1,1.1109876680368848E-4
court |courts |court,2014100512,7658,2,2.6116479498563595E-4
court |courts |court,2014100908,14247,6,4.211412929037692E-4
court |courts |court,2014100907,7751,4,5.160624435556702E-4
court |courts |court,2014100419,8630,2,2.317497103128621E-4
court |courts |court,2014100909,1000,2,0.002
court |courts |court,2014100721,11447,17,0.0014851052677557438
court |courts |court,2014100722,8294,46,0.005546177959971064
court |courts |court,2014100720,10198,15,0.0014708766424789174
court |courts |court,2014100723,5300,6,0.0011320754716981133
court |courts |court,2014100520,14801,5,3.3781501249915546E-4
court |courts |court,2014100523,12605,1,7.933359777865926E-5
court |courts |court,2014100522,10915,5,4.580852038479157E-4
court |courts |court,2014100521,14363,1,6.962333774281139E-5
court |courts |court,2014100623,8800,2,2.2727272727272727E-4
court |courts |court,2014100622,9000,3,3.333333333333333E-4
court |courts |court,2014100621,9007,4,4.4409903408460086E-4
court |courts |court,2014100620,8998,10,0.0011113580795732384
court |courts |court,2014093011,9741,9,9.239297813366184E-4
court |courts |court,2014093012,11191,9,8.042176749173443E-4
court |courts |court,2014093013,5267,8,0.0015188912094171254
court |courts |court,2014093017,3899,3,7.694280584765325E-4
court |courts |court,2014093018,99,0,0.0
court |courts |court,2014093019,8564,2,2.3353573096683791E-4
