turkish |Turkish,2014100417,9001,0,0.0
turkish |Turkish,2014100512,7658,0,0.0
turkish |Turkish,2014100908,14247,1,7.019021548396153E-5
turkish |Turkish,2014100907,7751,1,1.2901561088891756E-4
turkish |Turkish,2014100419,8630,1,1.1587485515643106E-4
turkish |Turkish,2014100909,1000,0,0.0
turkish |Turkish,2014100721,11447,2,1.747182667947934E-4
turkish |Turkish,2014100722,8294,13,0.001567398119122257
turkish |Turkish,2014100720,10198,12,0.001176701313983134
turkish |Turkish,2014100723,5300,2,3.773584905660377E-4
turkish |Turkish,2014100520,14801,2,1.3512600499966218E-4
turkish |Turkish,2014100523,12605,0,0.0
turkish |Turkish,2014100522,10915,0,0.0
turkish |Turkish,2014100521,14363,1,6.962333774281139E-5
turkish |Turkish,2014100623,8800,2,2.2727272727272727E-4
turkish |Turkish,2014100622,9000,0,0.0
turkish |Turkish,2014100621,9007,0,0.0
turkish |Turkish,2014100620,8998,2,2.222716159146477E-4
turkish |Turkish,2014093011,9741,0,0.0
turkish |Turkish,2014093012,11191,0,0.0
turkish |Turkish,2014093013,5267,0,0.0
turkish |Turkish,2014093017,3899,0,0.0
turkish |Turkish,2014093018,99,0,0.0
turkish |Turkish,2014093019,8564,0,0.0
