state |State |state |states,2014100522,10915,14,0.001282638570774164
state |State |state |states,2014100521,14363,14,9.747267283993595E-4
state |State |state |states,2014100623,8800,11,0.00125
state |State |state |states,2014100622,9000,12,0.0013333333333333333
state |State |state |states,2014100621,9007,17,0.0018874208948595538
state |State |state |states,2014100620,8998,7,7.77950655701267E-4
state |State |state |states,2014093011,9741,15,0.001539882968894364
state |State |state |states,2014093012,11191,21,0.00187650790814047
state |State |state |states,2014093013,5267,11,0.0020884754129485475
state |State |state |states,2014093017,3899,5,0.0012823800974608873
state |State |state |states,2014093018,99,0,0.0
state |State |state |states,2014093019,8564,24,0.0028024287716020553
