train |train |trains,2014100611,8676,13,0.0014983863531581375
train |train |trains,2014100714,9294,20,0.002151925973746503
train |train |trains,2014100806,7696,7,9.095634095634096E-4
train |train |trains,2014100612,7761,23,0.0029635356268522097
train |train |trains,2014100715,8494,20,0.0023546032493524842
train |train |trains,2014100807,6298,10,0.0015878056525881232
train |train |trains,2014100519,13547,51,0.0037646711449029306
train |train |trains,2014100809,5933,15,0.0025282319231417494
train |train |trains,2014100518,12589,10,7.943442688061005E-4
train |train |trains,2014100808,7916,23,0.002905507832238504
train |train |trains,2014100410,8297,13,0.0015668313848378932
train |train |trains,2014100412,8252,11,0.0013330101793504604
train |train |trains,2014100515,6526,3,4.5969966288691386E-4
train |train |trains,2014100411,8736,11,0.0012591575091575092
train |train |trains,2014100514,7337,7,9.54068420335287E-4
train |train |trains,2014100414,8029,6,7.47291069871715E-4
train |train |trains,2014100517,16635,13,7.814848211602044E-4
train |train |trains,2014100413,7649,16,0.0020917767028369723
train |train |trains,2014100516,7164,6,8.375209380234506E-4
train |train |trains,2014100416,8535,13,0.0015231400117164617
train |train |trains,2014100511,8203,14,0.0017066926734121662
train |train |trains,2014100415,9288,11,0.0011843238587424634
train |train |trains,2014100510,7389,10,0.0013533631073216945
train |train |trains,2014100418,8794,15,0.0017057084375710712
train |train |trains,2014100513,8653,8,9.245348434069109E-4
train |train |trains,2014100417,9001,11,0.0012220864348405733
train |train |trains,2014100512,7658,7,9.140767824497258E-4
train |train |trains,2014100908,14247,15,0.0010528532322594231
train |train |trains,2014100907,7751,11,0.0014191717197780931
train |train |trains,2014100419,8630,14,0.0016222479721900347
train |train |trains,2014100909,1000,2,0.002
train |train |trains,2014100721,11447,28,0.0024460557351271076
train |train |trains,2014100722,8294,14,0.0016879672052085846
train |train |trains,2014100720,10198,18,0.001765051970974701
train |train |trains,2014100723,5300,7,0.0013207547169811322
train |train |trains,2014100520,14801,11,7.431930274981421E-4
train |train |trains,2014100523,12605,10,7.933359777865926E-4
train |train |trains,2014100522,10915,6,5.497022446174989E-4
train |train |trains,2014100521,14363,6,4.177400264568683E-4
train |train |trains,2014100623,8800,13,0.0014772727272727272
train |train |trains,2014100622,9000,8,8.888888888888889E-4
train |train |trains,2014100621,9007,7,7.771733096480515E-4
train |train |trains,2014100620,8998,15,0.0016670371193598578
train |train |trains,2014093011,9741,25,0.00256647161482394
train |train |trains,2014093012,11191,17,0.001519077830399428
train |train |trains,2014093013,5267,3,5.69584203531422E-4
train |train |trains,2014093017,3899,18,0.004616568350859195
train |train |trains,2014093018,99,0,0.0
train |train |trains,2014093019,8564,22,0.002568893040635217
