friday |Friday,2014100803,4750,0,0.0
friday |Friday,2014100712,10146,10,9.856100926473486E-4
friday |Friday,2014100804,8238,0,0.0
friday |Friday,2014100610,8565,11,0.0012842965557501459
friday |Friday,2014100713,7382,14,0.001896505012191818
friday |Friday,2014100805,6904,0,0.0
friday |Friday,2014100611,8676,13,0.0014983863531581375
friday |Friday,2014100714,9294,15,0.0016139444803098773
friday |Friday,2014100806,7696,3,3.8981288981288983E-4
friday |Friday,2014100612,7761,17,0.0021904393763690247
friday |Friday,2014100715,8494,10,0.0011773016246762421
friday |Friday,2014100807,6298,10,0.0015878056525881232
friday |Friday,2014100519,13547,9,6.643537314534584E-4
friday |Friday,2014100809,5933,5,8.427439743805831E-4
friday |Friday,2014100518,12589,11,8.737786956867106E-4
friday |Friday,2014100808,7916,4,5.053057099545225E-4
friday |Friday,2014100410,8297,7,8.436784379896348E-4
friday |Friday,2014100412,8252,7,8.482792050412022E-4
friday |Friday,2014100515,6526,16,0.002451731535396874
friday |Friday,2014100411,8736,7,8.012820512820513E-4
friday |Friday,2014100514,7337,9,0.0012266593975739403
friday |Friday,2014100414,8029,6,7.47291069871715E-4
friday |Friday,2014100517,16635,10,6.011421701232341E-4
friday |Friday,2014100413,7649,5,6.536802196365538E-4
friday |Friday,2014100516,7164,5,6.979341150195422E-4
friday |Friday,2014100416,8535,7,8.201523140011716E-4
friday |Friday,2014100511,8203,12,0.0014628794343532854
friday |Friday,2014100415,9288,9,9.689922480620155E-4
friday |Friday,2014100510,7389,5,6.766815536608473E-4
friday |Friday,2014100418,8794,11,0.0012508528542187855
friday |Friday,2014100513,8653,12,0.0013868022651103663
friday |Friday,2014100417,9001,7,7.776913676258194E-4
friday |Friday,2014100512,7658,19,0.0024810655523635414
friday |Friday,2014100908,14247,4,2.807608619358461E-4
friday |Friday,2014100907,7751,3,3.8704683266675265E-4
friday |Friday,2014100419,8630,5,5.793742757821553E-4
friday |Friday,2014100909,1000,0,0.0
friday |Friday,2014100721,11447,14,0.0012230278675635538
friday |Friday,2014100722,8294,12,0.0014468290330359296
friday |Friday,2014100720,10198,12,0.001176701313983134
friday |Friday,2014100723,5300,6,0.0011320754716981133
