strike |strike |strikes,2014100515,6526,3,4.5969966288691386E-4
strike |strike |strikes,2014100411,8736,1,1.1446886446886447E-4
strike |strike |strikes,2014100514,7337,2,2.725909772386534E-4
strike |strike |strikes,2014100414,8029,3,3.736455349358575E-4
strike |strike |strikes,2014100517,16635,7,4.207995190862639E-4
strike |strike |strikes,2014100413,7649,4,5.229441757092431E-4
strike |strike |strikes,2014100516,7164,5,6.979341150195422E-4
strike |strike |strikes,2014100416,8535,6,7.0298769771529E-4
strike |strike |strikes,2014100511,8203,11,0.0013409728148238449
strike |strike |strikes,2014100415,9288,3,3.2299741602067185E-4
strike |strike |strikes,2014100510,7389,7,9.473541751251861E-4
strike |strike |strikes,2014100418,8794,1,1.1371389583807141E-4
strike |strike |strikes,2014100513,8653,7,8.089679879810471E-4
strike |strike |strikes,2014100417,9001,11,0.0012220864348405733
strike |strike |strikes,2014100512,7658,9,0.0011752415774353617
strike |strike |strikes,2014100908,14247,1,7.019021548396153E-5
strike |strike |strikes,2014100907,7751,3,3.8704683266675265E-4
strike |strike |strikes,2014100419,8630,2,2.317497103128621E-4
strike |strike |strikes,2014100909,1000,0,0.0
strike |strike |strikes,2014100721,11447,9,7.862322005765703E-4
strike |strike |strikes,2014100722,8294,4,4.822763443453099E-4
strike |strike |strikes,2014100720,10198,6,5.88350656991567E-4
strike |strike |strikes,2014100723,5300,3,5.660377358490566E-4
strike |strike |strikes,2014100520,14801,5,3.3781501249915546E-4
strike |strike |strikes,2014100523,12605,1,7.933359777865926E-5
strike |strike |strikes,2014100522,10915,0,0.0
strike |strike |strikes,2014100521,14363,4,2.7849335097124555E-4
strike |strike |strikes,2014100623,8800,1,1.1363636363636364E-4
strike |strike |strikes,2014100622,9000,5,5.555555555555556E-4
strike |strike |strikes,2014100621,9007,10,0.001110247585211502
strike |strike |strikes,2014100620,8998,4,4.445432318292954E-4
strike |strike |strikes,2014093011,9741,6,6.159531875577456E-4
strike |strike |strikes,2014093012,11191,1,8.935751943526048E-5
strike |strike |strikes,2014093013,5267,0,0.0
strike |strike |strikes,2014093017,3899,0,0.0
strike |strike |strikes,2014093018,99,0,0.0
strike |strike |strikes,2014093019,8564,5,5.838393274170948E-4
