abbott |Abbott,2014100809,5933,24,0.004045171077026799
abbott |Abbott,2014100518,12589,9,7.149098419254905E-4
abbott |Abbott,2014100808,7916,16,0.00202122283981809
abbott |Abbott,2014100410,8297,41,0.004941545136796432
abbott |Abbott,2014100412,8252,24,0.00290838584585555
abbott |Abbott,2014100515,6526,3,4.5969966288691386E-4
abbott |Abbott,2014100411,8736,16,0.0018315018315018315
abbott |Abbott,2014100514,7337,10,0.001362954886193267
abbott |Abbott,2014100414,8029,24,0.00298916427948686
abbott |Abbott,2014100517,16635,10,6.011421701232341E-4
abbott |Abbott,2014100413,7649,29,0.003791345273892012
abbott |Abbott,2014100516,7164,10,0.0013958682300390843
abbott |Abbott,2014100416,8535,22,0.0025776215582893965
abbott |Abbott,2014100511,8203,16,0.0019505059124710472
abbott |Abbott,2014100415,9288,12,0.0012919896640826874
abbott |Abbott,2014100510,7389,33,0.004466098254161592
abbott |Abbott,2014100418,8794,18,0.0020468501250852852
abbott |Abbott,2014100513,8653,10,0.0011556685542586387
abbott |Abbott,2014100417,9001,17,0.0018886790356627042
abbott |Abbott,2014100512,7658,8,0.0010446591799425438
abbott |Abbott,2014100908,14247,17,0.001193233663227346
abbott |Abbott,2014100907,7751,11,0.0014191717197780931
abbott |Abbott,2014100419,8630,24,0.0027809965237543454
abbott |Abbott,2014100909,1000,0,0.0
abbott |Abbott,2014100721,11447,39,0.0034070062024984713
abbott |Abbott,2014100722,8294,13,0.001567398119122257
abbott |Abbott,2014100720,10198,17,0.001666993528142773
abbott |Abbott,2014100723,5300,2,3.773584905660377E-4
abbott |Abbott,2014100520,14801,23,0.001553949057496115
abbott |Abbott,2014100523,12605,37,0.0029353431178103925
abbott |Abbott,2014100522,10915,90,0.008245533669262483
abbott |Abbott,2014100521,14363,90,0.006266100396853025
abbott |Abbott,2014100623,8800,7,7.954545454545455E-4
abbott |Abbott,2014100622,9000,17,0.001888888888888889
abbott |Abbott,2014100621,9007,26,0.0028866437215499057
abbott |Abbott,2014100620,8998,30,0.0033340742387197157
abbott |Abbott,2014093011,9741,16,0.0016425418334873217
abbott |Abbott,2014093012,11191,11,9.829327137878653E-4
abbott |Abbott,2014093013,5267,6,0.001139168407062844
abbott |Abbott,2014093017,3899,5,0.0012823800974608873
abbott |Abbott,2014093018,99,1,0.010101010101010102
abbott |Abbott,2014093019,8564,33,0.0038533395609528258
