prime minister |Prime Minister |prime minister,2014100802,4582,0,0.0
prime minister |Prime Minister |prime minister,2014100719,8904,0,0.0
prime minister |Prime Minister |prime minister,2014100803,4750,0,0.0
prime minister |Prime Minister |prime minister,2014100712,10146,1,9.856100926473487E-5
prime minister |Prime Minister |prime minister,2014100804,8238,0,0.0
prime minister |Prime Minister |prime minister,2014100610,8565,5,5.837711617046118E-4
prime minister |Prime Minister |prime minister,2014100713,7382,1,1.35464643727987E-4
prime minister |Prime Minister |prime minister,2014100805,6904,0,0.0
prime minister |Prime Minister |prime minister,2014100611,8676,3,3.4578146611341634E-4
prime minister |Prime Minister |prime minister,2014100714,9294,0,0.0
prime minister |Prime Minister |prime minister,2014100806,7696,0,0.0
prime minister |Prime Minister |prime minister,2014100612,7761,1,1.2884937508053087E-4
prime minister |Prime Minister |prime minister,2014100715,8494,0,0.0
prime minister |Prime Minister |prime minister,2014100807,6298,0,0.0
prime minister |Prime Minister |prime minister,2014100519,13547,2,1.4763416254521297E-4
prime minister |Prime Minister |prime minister,2014100809,5933,0,0.0
prime minister |Prime Minister |prime minister,2014100518,12589,0,0.0
prime minister |Prime Minister |prime minister,2014100808,7916,0,0.0
prime minister |Prime Minister |prime minister,2014100410,8297,4,4.821019645655056E-4
prime minister |Prime Minister |prime minister,2014100412,8252,5,6.059137178865729E-4
prime minister |Prime Minister |prime minister,2014100515,6526,0,0.0
prime minister |Prime Minister |prime minister,2014100411,8736,1,1.1446886446886447E-4
prime minister |Prime Minister |prime minister,2014100514,7337,0,0.0
prime minister |Prime Minister |prime minister,2014100414,8029,1,1.2454851164528583E-4
prime minister |Prime Minister |prime minister,2014100517,16635,0,0.0
prime minister |Prime Minister |prime minister,2014100413,7649,3,3.922081317819323E-4
prime minister |Prime Minister |prime minister,2014100516,7164,0,0.0
prime minister |Prime Minister |prime minister,2014100416,8535,1,1.1716461628588167E-4
prime minister |Prime Minister |prime minister,2014100511,8203,4,4.876264781177618E-4
prime minister |Prime Minister |prime minister,2014100415,9288,0,0.0
prime minister |Prime Minister |prime minister,2014100510,7389,1,1.3533631073216944E-4
prime minister |Prime Minister |prime minister,2014100418,8794,0,0.0
prime minister |Prime Minister |prime minister,2014100513,8653,0,0.0
prime minister |Prime Minister |prime minister,2014100417,9001,1,1.1109876680368848E-4
prime minister |Prime Minister |prime minister,2014100512,7658,0,0.0
prime minister |Prime Minister |prime minister,2014100908,14247,2,1.4038043096792306E-4
prime minister |Prime Minister |prime minister,2014100907,7751,0,0.0
prime minister |Prime Minister |prime minister,2014100419,8630,0,0.0
prime minister |Prime Minister |prime minister,2014100909,1000,1,0.001
prime minister |Prime Minister |prime minister,2014100721,11447,0,0.0
prime minister |Prime Minister |prime minister,2014100722,8294,0,0.0
prime minister |Prime Minister |prime minister,2014100720,10198,4,3.922337713277113E-4
prime minister |Prime Minister |prime minister,2014100723,5300,0,0.0
prime minister |Prime Minister |prime minister,2014100520,14801,2,1.3512600499966218E-4
prime minister |Prime Minister |prime minister,2014100523,12605,4,3.1733439111463705E-4
