hunt |Hunt,2014100801,4912,1,2.0358306188925082E-4
hunt |Hunt,2014100718,9824,7,7.125407166123778E-4
hunt |Hunt,2014100802,4582,0,0.0
hunt |Hunt,2014100719,8904,9,0.0010107816711590297
hunt |Hunt,2014100803,4750,0,0.0
hunt |Hunt,2014100712,10146,6,5.913660555884093E-4
hunt |Hunt,2014100804,8238,0,0.0
hunt |Hunt,2014100610,8565,1,1.1675423234092235E-4
hunt |Hunt,2014100713,7382,7,9.48252506095909E-4
hunt |Hunt,2014100805,6904,0,0.0
hunt |Hunt,2014100611,8676,3,3.4578146611341634E-4
hunt |Hunt,2014100714,9294,12,0.0012911555842479018
hunt |Hunt,2014100806,7696,2,2.598752598752599E-4
hunt |Hunt,2014100612,7761,0,0.0
hunt |Hunt,2014100715,8494,4,4.709206498704968E-4
hunt |Hunt,2014100807,6298,3,4.76341695776437E-4
hunt |Hunt,2014100519,13547,1,7.381708127260648E-5
hunt |Hunt,2014100809,5933,2,3.370975897522333E-4
hunt |Hunt,2014100518,12589,4,3.177377075224402E-4
hunt |Hunt,2014100808,7916,2,2.5265285497726126E-4
hunt |Hunt,2014100410,8297,3,3.615764734241292E-4
hunt |Hunt,2014100412,8252,3,3.6354823073194375E-4
hunt |Hunt,2014100515,6526,0,0.0
hunt |Hunt,2014100411,8736,5,5.723443223443224E-4
hunt |Hunt,2014100514,7337,3,4.088864658579801E-4
hunt |Hunt,2014100414,8029,3,3.736455349358575E-4
hunt |Hunt,2014100517,16635,2,1.2022843402464683E-4
hunt |Hunt,2014100413,7649,3,3.922081317819323E-4
hunt |Hunt,2014100516,7164,5,6.979341150195422E-4
hunt |Hunt,2014100416,8535,3,3.51493848857645E-4
hunt |Hunt,2014100511,8203,3,3.6571985858832134E-4
hunt |Hunt,2014100415,9288,3,3.2299741602067185E-4
hunt |Hunt,2014100510,7389,2,2.706726214643389E-4
hunt |Hunt,2014100418,8794,0,0.0
hunt |Hunt,2014100513,8653,1,1.1556685542586386E-4
hunt |Hunt,2014100417,9001,4,4.4439506721475393E-4
hunt |Hunt,2014100512,7658,3,3.917471924784539E-4
hunt |Hunt,2014100908,14247,3,2.105706464518846E-4
hunt |Hunt,2014100907,7751,0,0.0
hunt |Hunt,2014100419,8630,1,1.1587485515643106E-4
hunt |Hunt,2014100909,1000,0,0.0
hunt |Hunt,2014100721,11447,2,1.747182667947934E-4
hunt |Hunt,2014100722,8294,3,3.617072582589824E-4
hunt |Hunt,2014100720,10198,6,5.88350656991567E-4
hunt |Hunt,2014100723,5300,0,0.0
hunt |Hunt,2014100520,14801,1,6.756300249983109E-5
hunt |Hunt,2014100523,12605,1,7.933359777865926E-5
hunt |Hunt,2014100522,10915,1,9.161704076958314E-5
hunt |Hunt,2014100521,14363,2,1.3924667548562277E-4
hunt |Hunt,2014100623,8800,0,0.0
hunt |Hunt,2014100622,9000,1,1.1111111111111112E-4
hunt |Hunt,2014100621,9007,0,0.0
hunt |Hunt,2014100620,8998,2,2.222716159146477E-4
hunt |Hunt,2014093011,9741,1,1.026588645929576E-4
hunt |Hunt,2014093012,11191,1,8.935751943526048E-5
hunt |Hunt,2014093013,5267,1,1.8986140117714068E-4
hunt |Hunt,2014093017,3899,1,2.5647601949217746E-4
hunt |Hunt,2014093018,99,0,0.0
hunt |Hunt,2014093019,8564,1,1.1676786548341896E-4
