labor |Labor,2014100523,12605,0,0.0
labor |Labor,2014100522,10915,6,5.497022446174989E-4
labor |Labor,2014100521,14363,14,9.747267283993595E-4
labor |Labor,2014100623,8800,6,6.818181818181819E-4
labor |Labor,2014100622,9000,4,4.4444444444444447E-4
labor |Labor,2014100621,9007,12,0.0013322971022538025
labor |Labor,2014100620,8998,19,0.0021115803511891533
labor |Labor,2014093011,9741,7,7.186120521507032E-4
labor |Labor,2014093012,11191,6,5.361451166115629E-4
labor |Labor,2014093013,5267,4,7.594456047085627E-4
labor |Labor,2014093017,3899,3,7.694280584765325E-4
labor |Labor,2014093018,99,1,0.010101010101010102
labor |Labor,2014093019,8564,108,0.012610929472209247
