week |Weeks |weeks |week,2014100610,8565,135,0.01576182136602452
week |Weeks |weeks |week,2014100713,7382,60,0.00812787862367922
week |Weeks |weeks |week,2014100805,6904,7,0.0010139049826187717
week |Weeks |weeks |week,2014100611,8676,108,0.012448132780082987
week |Weeks |weeks |week,2014100714,9294,82,0.008822896492360663
week |Weeks |weeks |week,2014100806,7696,8,0.0010395010395010396
week |Weeks |weeks |week,2014100612,7761,78,0.010050251256281407
week |Weeks |weeks |week,2014100715,8494,72,0.008476571697668942
week |Weeks |weeks |week,2014100807,6298,19,0.003016830739917434
week |Weeks |weeks |week,2014100519,13547,97,0.007160256883442829
week |Weeks |weeks |week,2014100809,5933,52,0.008764537333558066
week |Weeks |weeks |week,2014100518,12589,62,0.0049249344665978235
week |Weeks |weeks |week,2014100808,7916,37,0.004674077817079333
week |Weeks |weeks |week,2014100410,8297,63,0.007593105941906713
week |Weeks |weeks |week,2014100412,8252,68,0.008240426563257392
week |Weeks |weeks |week,2014100515,6526,58,0.008887526815813668
week |Weeks |weeks |week,2014100411,8736,70,0.008012820512820512
week |Weeks |weeks |week,2014100514,7337,70,0.009540684203352868
week |Weeks |weeks |week,2014100414,8029,59,0.007348362187071865
week |Weeks |weeks |week,2014100517,16635,79,0.00474902314397355
week |Weeks |weeks |week,2014100413,7649,47,0.006144594064583606
week |Weeks |weeks |week,2014100516,7164,40,0.005583472920156337
week |Weeks |weeks |week,2014100416,8535,48,0.00562390158172232
week |Weeks |weeks |week,2014100511,8203,61,0.007436303791295867
week |Weeks |weeks |week,2014100415,9288,53,0.005706287683031869
week |Weeks |weeks |week,2014100510,7389,44,0.0059547976722154556
week |Weeks |weeks |week,2014100418,8794,66,0.007505117125312713
week |Weeks |weeks |week,2014100513,8653,67,0.007742979313532879
week |Weeks |weeks |week,2014100417,9001,53,0.005888234640595489
week |Weeks |weeks |week,2014100512,7658,69,0.00901018542700444
week |Weeks |weeks |week,2014100908,14247,29,0.0020355162490348845
week |Weeks |weeks |week,2014100907,7751,27,0.003483421494000774
week |Weeks |weeks |week,2014100419,8630,74,0.008574739281575898
week |Weeks |weeks |week,2014100909,1000,5,0.005
week |Weeks |weeks |week,2014100721,11447,82,0.007163448938586529
week |Weeks |weeks |week,2014100722,8294,52,0.006269592476489028
week |Weeks |weeks |week,2014100720,10198,79,0.0077466169837222985
week |Weeks |weeks |week,2014100723,5300,26,0.004905660377358491
week |Weeks |weeks |week,2014100520,14801,82,0.00554016620498615
week |Weeks |weeks |week,2014100523,12605,68,0.00539468464894883
week |Weeks |weeks |week,2014100522,10915,85,0.007787448465414567
week |Weeks |weeks |week,2014100521,14363,118,0.008215553853651743
week |Weeks |weeks |week,2014100623,8800,30,0.003409090909090909
week |Weeks |weeks |week,2014100622,9000,73,0.00811111111111111
week |Weeks |weeks |week,2014100621,9007,67,0.007438658820917064
week |Weeks |weeks |week,2014100620,8998,80,0.008890864636585907
week |Weeks |weeks |week,2014093011,9741,65,0.006672826198542244
week |Weeks |weeks |week,2014093012,11191,91,0.008131534268608704
week |Weeks |weeks |week,2014093013,5267,35,0.006645149041199924
week |Weeks |weeks |week,2014093017,3899,27,0.006924852526288792
week |Weeks |weeks |week,2014093018,99,1,0.010101010101010102
week |Weeks |weeks |week,2014093019,8564,55,0.006422232601588043
