investigation |investigations |Investigation |investigation |Investigations,2014100808,7916,1,1.2632642748863063E-4
investigation |investigations |Investigation |investigation |Investigations,2014100410,8297,2,2.410509822827528E-4
investigation |investigations |Investigation |investigation |Investigations,2014100412,8252,1,1.211827435773146E-4
investigation |investigations |Investigation |investigation |Investigations,2014100515,6526,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100411,8736,2,2.2893772893772894E-4
investigation |investigations |Investigation |investigation |Investigations,2014100514,7337,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100414,8029,1,1.2454851164528583E-4
investigation |investigations |Investigation |investigation |Investigations,2014100517,16635,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100413,7649,1,1.3073604392731077E-4
investigation |investigations |Investigation |investigation |Investigations,2014100516,7164,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100416,8535,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100511,8203,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100415,9288,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100510,7389,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100418,8794,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100513,8653,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100417,9001,1,1.1109876680368848E-4
investigation |investigations |Investigation |investigation |Investigations,2014100512,7658,2,2.6116479498563595E-4
investigation |investigations |Investigation |investigation |Investigations,2014100908,14247,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100907,7751,3,3.8704683266675265E-4
investigation |investigations |Investigation |investigation |Investigations,2014100419,8630,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100909,1000,2,0.002
investigation |investigations |Investigation |investigation |Investigations,2014100721,11447,7,6.115139337817769E-4
investigation |investigations |Investigation |investigation |Investigations,2014100722,8294,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100720,10198,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100723,5300,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100520,14801,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100523,12605,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100522,10915,1,9.161704076958314E-5
investigation |investigations |Investigation |investigation |Investigations,2014100521,14363,1,6.962333774281139E-5
investigation |investigations |Investigation |investigation |Investigations,2014100623,8800,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100622,9000,1,1.1111111111111112E-4
investigation |investigations |Investigation |investigation |Investigations,2014100621,9007,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014100620,8998,1,1.1113580795732385E-4
investigation |investigations |Investigation |investigation |Investigations,2014093011,9741,13,0.0013345652397084489
investigation |investigations |Investigation |investigation |Investigations,2014093012,11191,4,3.574300777410419E-4
investigation |investigations |Investigation |investigation |Investigations,2014093013,5267,2,3.7972280235428136E-4
investigation |investigations |Investigation |investigation |Investigations,2014093017,3899,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014093018,99,0,0.0
investigation |investigations |Investigation |investigation |Investigations,2014093019,8564,0,0.0
