border |Borders |border |borders,2014100523,12605,0,0.0
border |Borders |border |borders,2014100522,10915,1,9.161704076958314E-5
border |Borders |border |borders,2014100521,14363,3,2.0887001322843416E-4
border |Borders |border |borders,2014100623,8800,1,1.1363636363636364E-4
border |Borders |border |borders,2014100622,9000,0,0.0
border |Borders |border |borders,2014100621,9007,0,0.0
border |Borders |border |borders,2014100620,8998,1,1.1113580795732385E-4
border |Borders |border |borders,2014093011,9741,1,1.026588645929576E-4
border |Borders |border |borders,2014093012,11191,0,0.0
border |Borders |border |borders,2014093013,5267,1,1.8986140117714068E-4
border |Borders |border |borders,2014093017,3899,0,0.0
border |Borders |border |borders,2014093018,99,0,0.0
border |Borders |border |borders,2014093019,8564,1,1.1676786548341896E-4
