james hird |James Hird,2014100412,8252,2,2.423654871546292E-4
james hird |James Hird,2014100515,6526,1,1.5323322096230462E-4
james hird |James Hird,2014100411,8736,1,1.1446886446886447E-4
james hird |James Hird,2014100514,7337,0,0.0
james hird |James Hird,2014100414,8029,1,1.2454851164528583E-4
james hird |James Hird,2014100517,16635,0,0.0
james hird |James Hird,2014100413,7649,3,3.922081317819323E-4
james hird |James Hird,2014100516,7164,0,0.0
james hird |James Hird,2014100416,8535,2,2.3432923257176333E-4
james hird |James Hird,2014100511,8203,0,0.0
james hird |James Hird,2014100415,9288,0,0.0
james hird |James Hird,2014100510,7389,0,0.0
james hird |James Hird,2014100418,8794,1,1.1371389583807141E-4
james hird |James Hird,2014100513,8653,0,0.0
james hird |James Hird,2014100417,9001,1,1.1109876680368848E-4
james hird |James Hird,2014100512,7658,2,2.6116479498563595E-4
james hird |James Hird,2014100908,14247,0,0.0
james hird |James Hird,2014100907,7751,0,0.0
james hird |James Hird,2014100419,8630,0,0.0
james hird |James Hird,2014100909,1000,0,0.0
james hird |James Hird,2014100721,11447,4,3.494365335895868E-4
james hird |James Hird,2014100722,8294,2,2.4113817217265494E-4
james hird |James Hird,2014100720,10198,8,7.844675426554226E-4
james hird |James Hird,2014100723,5300,2,3.773584905660377E-4
james hird |James Hird,2014100520,14801,1,6.756300249983109E-5
james hird |James Hird,2014100523,12605,0,0.0
james hird |James Hird,2014100522,10915,0,0.0
james hird |James Hird,2014100521,14363,5,3.4811668871405696E-4
james hird |James Hird,2014100623,8800,4,4.5454545454545455E-4
james hird |James Hird,2014100622,9000,9,0.001
james hird |James Hird,2014100621,9007,21,0.0023315199289441545
james hird |James Hird,2014100620,8998,37,0.004112024894420982
james hird |James Hird,2014093011,9741,0,0.0
james hird |James Hird,2014093012,11191,0,0.0
james hird |James Hird,2014093013,5267,0,0.0
james hird |James Hird,2014093017,3899,2,5.129520389843549E-4
james hird |James Hird,2014093018,99,0,0.0
james hird |James Hird,2014093019,8564,0,0.0
