player |player |players |Players,2014100907,7751,7,9.031092762224229E-4
player |player |players |Players,2014100419,8630,41,0.004750869061413673
player |player |players |Players,2014100909,1000,0,0.0
player |player |players |Players,2014100721,11447,32,0.0027954922687166944
player |player |players |Players,2014100722,8294,37,0.004461056185194116
player |player |players |Players,2014100720,10198,45,0.004412629927436752
player |player |players |Players,2014100723,5300,17,0.0032075471698113206
player |player |players |Players,2014100520,14801,33,0.002229579082494426
player |player |players |Players,2014100523,12605,26,0.002062673542245141
player |player |players |Players,2014100522,10915,42,0.003847915712322492
player |player |players |Players,2014100521,14363,94,0.006544593747824271
player |player |players |Players,2014100623,8800,21,0.0023863636363636366
player |player |players |Players,2014100622,9000,26,0.0028888888888888888
player |player |players |Players,2014100621,9007,28,0.003108693238592206
player |player |players |Players,2014100620,8998,37,0.004112024894420982
player |player |players |Players,2014093011,9741,37,0.003798377989939431
player |player |players |Players,2014093012,11191,31,0.002770083102493075
player |player |players |Players,2014093013,5267,25,0.004746535029428517
player |player |players |Players,2014093017,3899,6,0.001538856116953065
player |player |players |Players,2014093018,99,0,0.0
player |player |players |Players,2014093019,8564,47,0.005488089677720691
