collingwood |Collingwood,2014100520,14801,4,2.7025200999932435E-4
collingwood |Collingwood,2014100523,12605,3,2.380007933359778E-4
collingwood |Collingwood,2014100522,10915,3,2.7485112230874945E-4
collingwood |Collingwood,2014100521,14363,10,6.962333774281139E-4
collingwood |Collingwood,2014100623,8800,3,3.4090909090909094E-4
collingwood |Collingwood,2014100622,9000,16,0.0017777777777777779
collingwood |Collingwood,2014100621,9007,24,0.002664594204507605
collingwood |Collingwood,2014100620,8998,3,3.3340742387197157E-4
collingwood |Collingwood,2014093011,9741,2,2.053177291859152E-4
collingwood |Collingwood,2014093012,11191,5,4.4678759717630236E-4
collingwood |Collingwood,2014093013,5267,8,0.0015188912094171254
collingwood |Collingwood,2014093017,3899,0,0.0
collingwood |Collingwood,2014093018,99,0,0.0
collingwood |Collingwood,2014093019,8564,1,1.1676786548341896E-4
