investor |investors |investor,2014100417,9001,4,4.4439506721475393E-4
investor |investors |investor,2014100512,7658,0,0.0
investor |investors |investor,2014100908,14247,0,0.0
investor |investors |investor,2014100907,7751,3,3.8704683266675265E-4
investor |investors |investor,2014100419,8630,1,1.1587485515643106E-4
investor |investors |investor,2014100909,1000,0,0.0
investor |investors |investor,2014100721,11447,2,1.747182667947934E-4
investor |investors |investor,2014100722,8294,1,1.2056908608632747E-4
investor |investors |investor,2014100720,10198,1,9.805844283192783E-5
investor |investors |investor,2014100723,5300,1,1.8867924528301886E-4
investor |investors |investor,2014100520,14801,1,6.756300249983109E-5
investor |investors |investor,2014100523,12605,0,0.0
investor |investors |investor,2014100522,10915,1,9.161704076958314E-5
investor |investors |investor,2014100521,14363,0,0.0
investor |investors |investor,2014100623,8800,0,0.0
investor |investors |investor,2014100622,9000,0,0.0
investor |investors |investor,2014100621,9007,0,0.0
investor |investors |investor,2014100620,8998,2,2.222716159146477E-4
investor |investors |investor,2014093011,9741,1,1.026588645929576E-4
investor |investors |investor,2014093012,11191,3,2.6807255830578144E-4
investor |investors |investor,2014093013,5267,1,1.8986140117714068E-4
investor |investors |investor,2014093017,3899,0,0.0
investor |investors |investor,2014093018,99,0,0.0
investor |investors |investor,2014093019,8564,3,3.503035964502569E-4
