kurd |Kurds,2014100714,9294,27,0.002905100064557779
kurd |Kurds,2014100806,7696,1,1.2993762993762994E-4
kurd |Kurds,2014100612,7761,20,0.0025769875016106174
kurd |Kurds,2014100715,8494,28,0.0032964445490934777
kurd |Kurds,2014100807,6298,0,0.0
kurd |Kurds,2014100519,13547,4,2.9526832509042594E-4
kurd |Kurds,2014100809,5933,1,1.6854879487611664E-4
kurd |Kurds,2014100518,12589,20,0.001588688537612201
kurd |Kurds,2014100808,7916,0,0.0
kurd |Kurds,2014100410,8297,0,0.0
kurd |Kurds,2014100412,8252,1,1.211827435773146E-4
kurd |Kurds,2014100515,6526,2,3.0646644192460924E-4
kurd |Kurds,2014100411,8736,12,0.0013736263736263737
kurd |Kurds,2014100514,7337,2,2.725909772386534E-4
kurd |Kurds,2014100414,8029,0,0.0
kurd |Kurds,2014100517,16635,0,0.0
kurd |Kurds,2014100413,7649,0,0.0
kurd |Kurds,2014100516,7164,0,0.0
kurd |Kurds,2014100416,8535,0,0.0
kurd |Kurds,2014100511,8203,13,0.001584786053882726
kurd |Kurds,2014100415,9288,0,0.0
kurd |Kurds,2014100510,7389,2,2.706726214643389E-4
kurd |Kurds,2014100418,8794,3,3.411416875142142E-4
kurd |Kurds,2014100513,8653,7,8.089679879810471E-4
kurd |Kurds,2014100417,9001,13,0.0014442839684479503
kurd |Kurds,2014100512,7658,14,0.0018281535648994515
kurd |Kurds,2014100908,14247,4,2.807608619358461E-4
kurd |Kurds,2014100907,7751,0,0.0
kurd |Kurds,2014100419,8630,11,0.0012746234067207416
kurd |Kurds,2014100909,1000,0,0.0
kurd |Kurds,2014100721,11447,1,8.73591333973967E-5
kurd |Kurds,2014100722,8294,0,0.0
kurd |Kurds,2014100720,10198,6,5.88350656991567E-4
kurd |Kurds,2014100723,5300,0,0.0
kurd |Kurds,2014100520,14801,26,0.0017566380649956083
kurd |Kurds,2014100523,12605,1,7.933359777865926E-5
kurd |Kurds,2014100522,10915,5,4.580852038479157E-4
kurd |Kurds,2014100521,14363,10,6.962333774281139E-4
kurd |Kurds,2014100623,8800,19,0.002159090909090909
kurd |Kurds,2014100622,9000,14,0.0015555555555555555
kurd |Kurds,2014100621,9007,4,4.4409903408460086E-4
kurd |Kurds,2014100620,8998,1,1.1113580795732385E-4
kurd |Kurds,2014093011,9741,1,1.026588645929576E-4
kurd |Kurds,2014093012,11191,0,0.0
kurd |Kurds,2014093013,5267,0,0.0
kurd |Kurds,2014093017,3899,1,2.5647601949217746E-4
kurd |Kurds,2014093018,99,0,0.0
kurd |Kurds,2014093019,8564,0,0.0
