asada |ASADA,2014100410,8297,2,2.410509822827528E-4
asada |ASADA,2014100412,8252,1,1.211827435773146E-4
asada |ASADA,2014100515,6526,0,0.0
asada |ASADA,2014100411,8736,2,2.2893772893772894E-4
asada |ASADA,2014100514,7337,0,0.0
asada |ASADA,2014100414,8029,0,0.0
asada |ASADA,2014100517,16635,0,0.0
asada |ASADA,2014100413,7649,2,2.6147208785462153E-4
asada |ASADA,2014100516,7164,0,0.0
asada |ASADA,2014100416,8535,0,0.0
asada |ASADA,2014100511,8203,0,0.0
asada |ASADA,2014100415,9288,1,1.0766580534022394E-4
asada |ASADA,2014100510,7389,0,0.0
asada |ASADA,2014100418,8794,1,1.1371389583807141E-4
asada |ASADA,2014100513,8653,0,0.0
asada |ASADA,2014100417,9001,0,0.0
asada |ASADA,2014100512,7658,1,1.3058239749281798E-4
asada |ASADA,2014100908,14247,0,0.0
asada |ASADA,2014100907,7751,1,1.2901561088891756E-4
asada |ASADA,2014100419,8630,1,1.1587485515643106E-4
asada |ASADA,2014100909,1000,0,0.0
asada |ASADA,2014100721,11447,7,6.115139337817769E-4
asada |ASADA,2014100722,8294,1,1.2056908608632747E-4
asada |ASADA,2014100720,10198,0,0.0
asada |ASADA,2014100723,5300,0,0.0
asada |ASADA,2014100520,14801,0,0.0
asada |ASADA,2014100523,12605,0,0.0
asada |ASADA,2014100522,10915,1,9.161704076958314E-5
asada |ASADA,2014100521,14363,0,0.0
asada |ASADA,2014100623,8800,1,1.1363636363636364E-4
asada |ASADA,2014100622,9000,2,2.2222222222222223E-4
asada |ASADA,2014100621,9007,0,0.0
asada |ASADA,2014100620,8998,1,1.1113580795732385E-4
asada |ASADA,2014093011,9741,0,0.0
asada |ASADA,2014093012,11191,0,0.0
asada |ASADA,2014093013,5267,0,0.0
asada |ASADA,2014093017,3899,0,0.0
asada |ASADA,2014093018,99,0,0.0
asada |ASADA,2014093019,8564,2,2.3353573096683791E-4
