frawley |Frawley,2014100723,5300,0,0.0
frawley |Frawley,2014100520,14801,2,1.3512600499966218E-4
frawley |Frawley,2014100523,12605,2,1.5866719555731853E-4
frawley |Frawley,2014100522,10915,0,0.0
frawley |Frawley,2014100521,14363,2,1.3924667548562277E-4
frawley |Frawley,2014100623,8800,1,1.1363636363636364E-4
frawley |Frawley,2014100622,9000,7,7.777777777777777E-4
frawley |Frawley,2014100621,9007,15,0.0016653713778172533
frawley |Frawley,2014100620,8998,11,0.0012224938875305623
frawley |Frawley,2014093011,9741,0,0.0
frawley |Frawley,2014093012,11191,1,8.935751943526048E-5
frawley |Frawley,2014093013,5267,0,0.0
frawley |Frawley,2014093017,3899,6,0.001538856116953065
frawley |Frawley,2014093018,99,0,0.0
frawley |Frawley,2014093019,8564,8,9.341429238673517E-4
