crime |Crime |crime |crimes,2014100616,10833,7,6.46173728422413E-4
crime |Crime |crime |crimes,2014100711,13474,3,2.226510316164465E-4
crime |Crime |crime |crimes,2014100617,11523,3,2.603488674824265E-4
crime |Crime |crime |crimes,2014100900,3864,1,2.587991718426501E-4
crime |Crime |crime |crimes,2014100618,10834,7,6.461140852870592E-4
crime |Crime |crime |crimes,2014100901,3052,2,6.55307994757536E-4
crime |Crime |crime |crimes,2014100619,10472,7,6.684491978609625E-4
crime |Crime |crime |crimes,2014100902,4916,1,2.034174125305126E-4
crime |Crime |crime |crimes,2014100716,9756,3,3.075030750307503E-4
crime |Crime |crime |crimes,2014100800,3418,2,5.851375073142189E-4
crime |Crime |crime |crimes,2014100717,12018,4,3.328340822100183E-4
crime |Crime |crime |crimes,2014100801,4912,3,6.107491856677524E-4
crime |Crime |crime |crimes,2014100718,9824,3,3.053745928338762E-4
crime |Crime |crime |crimes,2014100802,4582,0,0.0
crime |Crime |crime |crimes,2014100719,8904,4,4.492362982929021E-4
crime |Crime |crime |crimes,2014100803,4750,2,4.210526315789474E-4
crime |Crime |crime |crimes,2014100712,10146,4,3.942440370589395E-4
crime |Crime |crime |crimes,2014100804,8238,1,1.2138868657441127E-4
crime |Crime |crime |crimes,2014100610,8565,2,2.335084646818447E-4
crime |Crime |crime |crimes,2014100713,7382,3,4.06393931183961E-4
crime |Crime |crime |crimes,2014100805,6904,1,1.4484356894553882E-4
crime |Crime |crime |crimes,2014100611,8676,3,3.4578146611341634E-4
crime |Crime |crime |crimes,2014100714,9294,5,5.379814934366257E-4
crime |Crime |crime |crimes,2014100806,7696,1,1.2993762993762994E-4
crime |Crime |crime |crimes,2014100612,7761,7,9.01945625563716E-4
crime |Crime |crime |crimes,2014100715,8494,2,2.354603249352484E-4
crime |Crime |crime |crimes,2014100807,6298,1,1.5878056525881233E-4
crime |Crime |crime |crimes,2014100519,13547,5,3.690854063630324E-4
crime |Crime |crime |crimes,2014100809,5933,11,0.001854036743637283
crime |Crime |crime |crimes,2014100518,12589,4,3.177377075224402E-4
crime |Crime |crime |crimes,2014100808,7916,11,0.0013895907023749369
crime |Crime |crime |crimes,2014100410,8297,2,2.410509822827528E-4
crime |Crime |crime |crimes,2014100412,8252,3,3.6354823073194375E-4
crime |Crime |crime |crimes,2014100515,6526,8,0.001225865767698437
crime |Crime |crime |crimes,2014100411,8736,3,3.4340659340659343E-4
crime |Crime |crime |crimes,2014100514,7337,3,4.088864658579801E-4
crime |Crime |crime |crimes,2014100414,8029,5,6.227425582264292E-4
crime |Crime |crime |crimes,2014100517,16635,5,3.0057108506161706E-4
crime |Crime |crime |crimes,2014100413,7649,3,3.922081317819323E-4
crime |Crime |crime |crimes,2014100516,7164,1,1.3958682300390843E-4
crime |Crime |crime |crimes,2014100416,8535,15,0.0017574692442882249
crime |Crime |crime |crimes,2014100511,8203,2,2.438132390588809E-4
crime |Crime |crime |crimes,2014100415,9288,3,3.2299741602067185E-4
crime |Crime |crime |crimes,2014100510,7389,10,0.0013533631073216945
crime |Crime |crime |crimes,2014100418,8794,3,3.411416875142142E-4
crime |Crime |crime |crimes,2014100513,8653,2,2.3113371085172773E-4
crime |Crime |crime |crimes,2014100417,9001,3,3.3329630041106545E-4
crime |Crime |crime |crimes,2014100512,7658,6,7.834943849569079E-4
crime |Crime |crime |crimes,2014100908,14247,4,2.807608619358461E-4
crime |Crime |crime |crimes,2014100907,7751,1,1.2901561088891756E-4
crime |Crime |crime |crimes,2014100419,8630,6,6.952491309385864E-4
crime |Crime |crime |crimes,2014100909,1000,2,0.002
crime |Crime |crime |crimes,2014100721,11447,2,1.747182667947934E-4
crime |Crime |crime |crimes,2014100722,8294,2,2.4113817217265494E-4
crime |Crime |crime |crimes,2014100720,10198,10,9.805844283192783E-4
crime |Crime |crime |crimes,2014100723,5300,0,0.0
crime |Crime |crime |crimes,2014100520,14801,2,1.3512600499966218E-4
crime |Crime |crime |crimes,2014100523,12605,4,3.1733439111463705E-4
crime |Crime |crime |crimes,2014100522,10915,5,4.580852038479157E-4
crime |Crime |crime |crimes,2014100521,14363,6,4.177400264568683E-4
crime |Crime |crime |crimes,2014100623,8800,3,3.4090909090909094E-4
crime |Crime |crime |crimes,2014100622,9000,1,1.1111111111111112E-4
crime |Crime |crime |crimes,2014100621,9007,5,5.55123792605751E-4
crime |Crime |crime |crimes,2014100620,8998,0,0.0
crime |Crime |crime |crimes,2014093011,9741,11,0.0011292475105225336
crime |Crime |crime |crimes,2014093012,11191,3,2.6807255830578144E-4
crime |Crime |crime |crimes,2014093013,5267,2,3.7972280235428136E-4
crime |Crime |crime |crimes,2014093017,3899,3,7.694280584765325E-4
crime |Crime |crime |crimes,2014093018,99,0,0.0
crime |Crime |crime |crimes,2014093019,8564,4,4.6707146193367583E-4
