australian |Australian |Australians,2014100715,8494,69,0.008123381210266071
australian |Australian |Australians,2014100807,6298,12,0.001905366783105748
australian |Australian |Australians,2014100519,13547,62,0.004576659038901602
australian |Australian |Australians,2014100809,5933,16,0.0026967807180178663
australian |Australian |Australians,2014100518,12589,43,0.0034156803558662322
australian |Australian |Australians,2014100808,7916,33,0.00416877210712481
australian |Australian |Australians,2014100410,8297,29,0.0034952392430999154
australian |Australian |Australians,2014100412,8252,51,0.006180319922443044
australian |Australian |Australians,2014100515,6526,54,0.00827459393196445
australian |Australian |Australians,2014100411,8736,23,0.002632783882783883
australian |Australian |Australians,2014100514,7337,41,0.005588115033392395
australian |Australian |Australians,2014100414,8029,49,0.006102877070619006
australian |Australian |Australians,2014100517,16635,19,0.001142170123234145
australian |Australian |Australians,2014100413,7649,43,0.005621649888874362
australian |Australian |Australians,2014100516,7164,38,0.00530429927414852
australian |Australian |Australians,2014100416,8535,38,0.004452255418863503
australian |Australian |Australians,2014100511,8203,17,0.0020724125320004875
australian |Australian |Australians,2014100415,9288,25,0.002691645133505599
australian |Australian |Australians,2014100510,7389,27,0.0036540803897685747
australian |Australian |Australians,2014100418,8794,50,0.00568569479190357
australian |Australian |Australians,2014100513,8653,69,0.007974113024384607
australian |Australian |Australians,2014100417,9001,43,0.004777246972558605
australian |Australian |Australians,2014100512,7658,34,0.004439801514755811
australian |Australian |Australians,2014100908,14247,24,0.0016845651716150768
australian |Australian |Australians,2014100907,7751,12,0.0015481873306670106
australian |Australian |Australians,2014100419,8630,75,0.00869061413673233
australian |Australian |Australians,2014100909,1000,4,0.004
australian |Australian |Australians,2014100721,11447,42,0.0036690836026906613
australian |Australian |Australians,2014100722,8294,29,0.0034965034965034965
australian |Australian |Australians,2014100720,10198,51,0.0050009805844283195
australian |Australian |Australians,2014100723,5300,13,0.0024528301886792454
australian |Australian |Australians,2014100520,14801,69,0.004661847172488345
australian |Australian |Australians,2014100523,12605,31,0.002459341531138437
australian |Australian |Australians,2014100522,10915,44,0.004031149793861658
australian |Australian |Australians,2014100521,14363,44,0.003063426860683701
australian |Australian |Australians,2014100623,8800,15,0.0017045454545454545
australian |Australian |Australians,2014100622,9000,89,0.009888888888888888
australian |Australian |Australians,2014100621,9007,54,0.005995336960142112
australian |Australian |Australians,2014100620,8998,78,0.00866859302067126
australian |Australian |Australians,2014093011,9741,46,0.004722307771276049
australian |Australian |Australians,2014093012,11191,57,0.0050933786078098476
australian |Australian |Australians,2014093013,5267,47,0.008923485855325613
australian |Australian |Australians,2014093017,3899,27,0.006924852526288792
australian |Australian |Australians,2014093018,99,1,0.010101010101010102
australian |Australian |Australians,2014093019,8564,39,0.00455394675385334
