report |reports |report,2014100713,7382,14,0.001896505012191818
report |reports |report,2014100805,6904,3,4.3453070683661645E-4
report |reports |report,2014100611,8676,20,0.002305209774089442
report |reports |report,2014100714,9294,5,5.379814934366257E-4
report |reports |report,2014100806,7696,1,1.2993762993762994E-4
report |reports |report,2014100612,7761,10,0.0012884937508053087
report |reports |report,2014100715,8494,18,0.0021191429244172355
report |reports |report,2014100807,6298,23,0.0036519530009526836
report |reports |report,2014100519,13547,13,9.596220565438843E-4
report |reports |report,2014100809,5933,28,0.004719366256531266
report |reports |report,2014100518,12589,11,8.737786956867106E-4
report |reports |report,2014100808,7916,14,0.0017685699848408287
report |reports |report,2014100410,8297,47,0.005664698083644691
report |reports |report,2014100412,8252,17,0.002060106640814348
report |reports |report,2014100515,6526,4,6.129328838492185E-4
report |reports |report,2014100411,8736,34,0.003891941391941392
report |reports |report,2014100514,7337,6,8.177729317159602E-4
report |reports |report,2014100414,8029,16,0.0019927761863245733
report |reports |report,2014100517,16635,15,9.017132551848512E-4
report |reports |report,2014100413,7649,16,0.0020917767028369723
report |reports |report,2014100516,7164,10,0.0013958682300390843
report |reports |report,2014100416,8535,21,0.002460456942003515
report |reports |report,2014100511,8203,7,8.533463367060831E-4
report |reports |report,2014100415,9288,15,0.001614987080103359
report |reports |report,2014100510,7389,8,0.0010826904858573555
report |reports |report,2014100418,8794,29,0.003297702979304071
report |reports |report,2014100513,8653,3,3.467005662775916E-4
report |reports |report,2014100417,9001,19,0.002110876569270081
report |reports |report,2014100512,7658,13,0.0016975711674066336
report |reports |report,2014100908,14247,9,6.317119393556538E-4
report |reports |report,2014100907,7751,9,0.001161140498000258
report |reports |report,2014100419,8630,22,0.0025492468134414832
report |reports |report,2014100909,1000,1,0.001
report |reports |report,2014100721,11447,16,0.0013977461343583472
report |reports |report,2014100722,8294,29,0.0034965034965034965
report |reports |report,2014100720,10198,16,0.0015689350853108452
report |reports |report,2014100723,5300,5,9.433962264150943E-4
report |reports |report,2014100520,14801,10,6.756300249983109E-4
report |reports |report,2014100523,12605,10,7.933359777865926E-4
report |reports |report,2014100522,10915,9,8.245533669262483E-4
report |reports |report,2014100521,14363,44,0.003063426860683701
report |reports |report,2014100623,8800,14,0.001590909090909091
report |reports |report,2014100622,9000,18,0.002
report |reports |report,2014100621,9007,29,0.0032197179971133563
report |reports |report,2014100620,8998,21,0.0023338519671038008
report |reports |report,2014093011,9741,19,0.0019505184272661945
report |reports |report,2014093012,11191,20,0.0017871503887052094
report |reports |report,2014093013,5267,13,0.002468198215302829
report |reports |report,2014093017,3899,7,0.0017953321364452424
report |reports |report,2014093018,99,0,0.0
report |reports |report,2014093019,8564,18,0.0021018215787015414
