million |million |millions,2014100909,1000,0,0.0
million |million |millions,2014100721,11447,14,0.0012230278675635538
million |million |millions,2014100722,8294,11,0.001326259946949602
million |million |millions,2014100720,10198,18,0.001765051970974701
million |million |millions,2014100723,5300,5,9.433962264150943E-4
million |million |millions,2014100520,14801,8,5.405040199986487E-4
million |million |millions,2014100523,12605,15,0.001190003966679889
million |million |millions,2014100522,10915,5,4.580852038479157E-4
million |million |millions,2014100521,14363,14,9.747267283993595E-4
million |million |millions,2014100623,8800,6,6.818181818181819E-4
million |million |millions,2014100622,9000,7,7.777777777777777E-4
million |million |millions,2014100621,9007,8,8.881980681692017E-4
million |million |millions,2014100620,8998,14,0.001555901311402534
million |million |millions,2014093011,9741,6,6.159531875577456E-4
million |million |millions,2014093012,11191,25,0.002233937985881512
million |million |millions,2014093013,5267,17,0.0032276438200113918
million |million |millions,2014093017,3899,8,0.0020518081559374197
million |million |millions,2014093018,99,0,0.0
million |million |millions,2014093019,8564,11,0.0012844465203176085
