protest |protest |protests,2014100512,7658,0,0.0
protest |protest |protests,2014100908,14247,2,1.4038043096792306E-4
protest |protest |protests,2014100907,7751,1,1.2901561088891756E-4
protest |protest |protests,2014100419,8630,5,5.793742757821553E-4
protest |protest |protests,2014100909,1000,0,0.0
protest |protest |protests,2014100721,11447,6,5.241548003843802E-4
protest |protest |protests,2014100722,8294,3,3.617072582589824E-4
protest |protest |protests,2014100720,10198,1,9.805844283192783E-5
protest |protest |protests,2014100723,5300,0,0.0
protest |protest |protests,2014100520,14801,2,1.3512600499966218E-4
protest |protest |protests,2014100523,12605,2,1.5866719555731853E-4
protest |protest |protests,2014100522,10915,2,1.832340815391663E-4
protest |protest |protests,2014100521,14363,2,1.3924667548562277E-4
protest |protest |protests,2014100623,8800,3,3.4090909090909094E-4
protest |protest |protests,2014100622,9000,3,3.333333333333333E-4
protest |protest |protests,2014100621,9007,2,2.2204951704230043E-4
protest |protest |protests,2014100620,8998,3,3.3340742387197157E-4
protest |protest |protests,2014093011,9741,18,0.0018478595626732369
protest |protest |protests,2014093012,11191,13,0.0011616477526583862
protest |protest |protests,2014093013,5267,3,5.69584203531422E-4
protest |protest |protests,2014093017,3899,9,0.0023082841754295974
protest |protest |protests,2014093018,99,1,0.010101010101010102
protest |protest |protests,2014093019,8564,10,0.0011676786548341896
