fighting |fighting,2014100803,4750,0,0.0
fighting |fighting,2014100712,10146,5,4.928050463236743E-4
fighting |fighting,2014100804,8238,0,0.0
fighting |fighting,2014100610,8565,5,5.837711617046118E-4
fighting |fighting,2014100713,7382,14,0.001896505012191818
fighting |fighting,2014100805,6904,2,2.8968713789107763E-4
fighting |fighting,2014100611,8676,2,2.305209774089442E-4
fighting |fighting,2014100714,9294,3,3.2278889606197545E-4
fighting |fighting,2014100806,7696,0,0.0
fighting |fighting,2014100612,7761,3,3.8654812524159255E-4
fighting |fighting,2014100715,8494,5,5.886508123381211E-4
fighting |fighting,2014100807,6298,6,9.52683391552874E-4
fighting |fighting,2014100519,13547,3,2.2145124381781945E-4
fighting |fighting,2014100809,5933,10,0.0016854879487611663
fighting |fighting,2014100518,12589,7,5.560409881642704E-4
fighting |fighting,2014100808,7916,0,0.0
fighting |fighting,2014100410,8297,4,4.821019645655056E-4
fighting |fighting,2014100412,8252,2,2.423654871546292E-4
fighting |fighting,2014100515,6526,8,0.001225865767698437
fighting |fighting,2014100411,8736,9,0.0010302197802197802
fighting |fighting,2014100514,7337,5,6.814774430966335E-4
fighting |fighting,2014100414,8029,4,4.981940465811433E-4
fighting |fighting,2014100517,16635,11,6.612563871355576E-4
fighting |fighting,2014100413,7649,3,3.922081317819323E-4
fighting |fighting,2014100516,7164,4,5.583472920156337E-4
fighting |fighting,2014100416,8535,1,1.1716461628588167E-4
fighting |fighting,2014100511,8203,3,3.6571985858832134E-4
fighting |fighting,2014100415,9288,2,2.153316106804479E-4
fighting |fighting,2014100510,7389,3,4.060089321965083E-4
fighting |fighting,2014100418,8794,2,2.2742779167614282E-4
fighting |fighting,2014100513,8653,17,0.0019646365422396855
fighting |fighting,2014100417,9001,4,4.4439506721475393E-4
fighting |fighting,2014100512,7658,12,0.0015669887699138157
fighting |fighting,2014100908,14247,3,2.105706464518846E-4
fighting |fighting,2014100907,7751,0,0.0
fighting |fighting,2014100419,8630,4,4.634994206257242E-4
fighting |fighting,2014100909,1000,1,0.001
fighting |fighting,2014100721,11447,4,3.494365335895868E-4
fighting |fighting,2014100722,8294,4,4.822763443453099E-4
fighting |fighting,2014100720,10198,13,0.0012747597568150619
fighting |fighting,2014100723,5300,7,0.0013207547169811322
fighting |fighting,2014100520,14801,3,2.0268900749949328E-4
fighting |fighting,2014100523,12605,1,7.933359777865926E-5
fighting |fighting,2014100522,10915,5,4.580852038479157E-4
fighting |fighting,2014100521,14363,5,3.4811668871405696E-4
fighting |fighting,2014100623,8800,0,0.0
fighting |fighting,2014100622,9000,5,5.555555555555556E-4
fighting |fighting,2014100621,9007,4,4.4409903408460086E-4
fighting |fighting,2014100620,8998,1,1.1113580795732385E-4
fighting |fighting,2014093011,9741,40,0.004106354583718304
fighting |fighting,2014093012,11191,28,0.0025020105441872936
fighting |fighting,2014093013,5267,7,0.0013290298082399847
fighting |fighting,2014093017,3899,0,0.0
fighting |fighting,2014093018,99,0,0.0
fighting |fighting,2014093019,8564,5,5.838393274170948E-4
