crossing |crossing,2014100223,8580,0,0.0
crossing |crossing,2014100522,10915,0,0.0
crossing |crossing,2014100521,14363,1,6.962333774281139E-5
crossing |crossing,2014100623,8800,0,0.0
crossing |crossing,2014100622,9000,2,2.2222222222222223E-4
crossing |crossing,2014100621,9007,1,1.1102475852115021E-4
crossing |crossing,2014100620,8998,1,1.1113580795732385E-4
crossing |crossing,2014093011,9741,1,1.026588645929576E-4
crossing |crossing,2014093012,11191,0,0.0
crossing |crossing,2014093013,5267,0,0.0
crossing |crossing,2014093017,3899,1,2.5647601949217746E-4
crossing |crossing,2014093018,99,0,0.0
crossing |crossing,2014093019,8564,1,1.1676786548341896E-4
