ban |ban |bans,2014100619,10472,2,1.9098548510313216E-4
ban |ban |bans,2014100902,4916,0,0.0
ban |ban |bans,2014100716,9756,1,1.025010250102501E-4
ban |ban |bans,2014100800,3418,3,8.777062609713282E-4
ban |ban |bans,2014100717,12018,3,2.4962556165751375E-4
ban |ban |bans,2014100801,4912,1,2.0358306188925082E-4
ban |ban |bans,2014100718,9824,1,1.0179153094462541E-4
ban |ban |bans,2014100802,4582,0,0.0
ban |ban |bans,2014100719,8904,3,3.3692722371967657E-4
ban |ban |bans,2014100803,4750,0,0.0
ban |ban |bans,2014100712,10146,5,4.928050463236743E-4
ban |ban |bans,2014100804,8238,0,0.0
ban |ban |bans,2014100610,8565,7,8.172796263864566E-4
ban |ban |bans,2014100713,7382,1,1.35464643727987E-4
ban |ban |bans,2014100805,6904,1,1.4484356894553882E-4
ban |ban |bans,2014100611,8676,3,3.4578146611341634E-4
ban |ban |bans,2014100714,9294,2,2.1519259737465033E-4
ban |ban |bans,2014100806,7696,0,0.0
ban |ban |bans,2014100612,7761,2,2.5769875016106174E-4
ban |ban |bans,2014100715,8494,1,1.177301624676242E-4
ban |ban |bans,2014100807,6298,0,0.0
ban |ban |bans,2014100519,13547,2,1.4763416254521297E-4
ban |ban |bans,2014100809,5933,7,0.0011798415641328165
ban |ban |bans,2014100518,12589,10,7.943442688061005E-4
ban |ban |bans,2014100808,7916,6,7.579585649317837E-4
ban |ban |bans,2014100410,8297,9,0.0010847294202723876
ban |ban |bans,2014100412,8252,9,0.0010906446921958312
ban |ban |bans,2014100515,6526,4,6.129328838492185E-4
ban |ban |bans,2014100411,8736,5,5.723443223443224E-4
ban |ban |bans,2014100514,7337,8,0.0010903639089546136
ban |ban |bans,2014100414,8029,3,3.736455349358575E-4
ban |ban |bans,2014100517,16635,28,0.0016831980763450556
ban |ban |bans,2014100413,7649,13,0.0016995685710550399
ban |ban |bans,2014100516,7164,16,0.002233389168062535
ban |ban |bans,2014100416,8535,2,2.3432923257176333E-4
ban |ban |bans,2014100511,8203,3,3.6571985858832134E-4
ban |ban |bans,2014100415,9288,5,5.383290267011198E-4
ban |ban |bans,2014100510,7389,3,4.060089321965083E-4
ban |ban |bans,2014100418,8794,3,3.411416875142142E-4
ban |ban |bans,2014100513,8653,7,8.089679879810471E-4
ban |ban |bans,2014100417,9001,3,3.3329630041106545E-4
ban |ban |bans,2014100512,7658,3,3.917471924784539E-4
ban |ban |bans,2014100908,14247,2,1.4038043096792306E-4
ban |ban |bans,2014100907,7751,8,0.0010321248871113405
ban |ban |bans,2014100419,8630,3,3.476245654692932E-4
ban |ban |bans,2014100909,1000,1,0.001
ban |ban |bans,2014100721,11447,3,2.620774001921901E-4
ban |ban |bans,2014100722,8294,4,4.822763443453099E-4
ban |ban |bans,2014100720,10198,2,1.9611688566385565E-4
ban |ban |bans,2014100723,5300,0,0.0
ban |ban |bans,2014100520,14801,6,4.0537801499898656E-4
ban |ban |bans,2014100523,12605,1,7.933359777865926E-5
ban |ban |bans,2014100522,10915,3,2.7485112230874945E-4
ban |ban |bans,2014100521,14363,11,7.658567151709253E-4
ban |ban |bans,2014100623,8800,3,3.4090909090909094E-4
ban |ban |bans,2014100622,9000,2,2.2222222222222223E-4
ban |ban |bans,2014100621,9007,2,2.2204951704230043E-4
ban |ban |bans,2014100620,8998,2,2.222716159146477E-4
ban |ban |bans,2014093011,9741,2,2.053177291859152E-4
ban |ban |bans,2014093012,11191,2,1.7871503887052095E-4
ban |ban |bans,2014093013,5267,15,0.0028479210176571104
ban |ban |bans,2014093017,3899,1,2.5647601949217746E-4
ban |ban |bans,2014093018,99,0,0.0
ban |ban |bans,2014093019,8564,1,1.1676786548341896E-4
