hospital |hospital |hospitals,2014100516,7164,3,4.187604690117253E-4
hospital |hospital |hospitals,2014100416,8535,2,2.3432923257176333E-4
hospital |hospital |hospitals,2014100511,8203,5,6.095330976472023E-4
hospital |hospital |hospitals,2014100415,9288,6,6.459948320413437E-4
hospital |hospital |hospitals,2014100510,7389,3,4.060089321965083E-4
hospital |hospital |hospitals,2014100418,8794,3,3.411416875142142E-4
hospital |hospital |hospitals,2014100513,8653,6,6.934011325551831E-4
hospital |hospital |hospitals,2014100417,9001,2,2.2219753360737697E-4
hospital |hospital |hospitals,2014100512,7658,1,1.3058239749281798E-4
hospital |hospital |hospitals,2014100908,14247,11,7.720923703235769E-4
hospital |hospital |hospitals,2014100907,7751,14,0.0018062185524448458
hospital |hospital |hospitals,2014100419,8630,2,2.317497103128621E-4
hospital |hospital |hospitals,2014100909,1000,1,0.001
hospital |hospital |hospitals,2014100721,11447,12,0.0010483096007687603
hospital |hospital |hospitals,2014100722,8294,2,2.4113817217265494E-4
hospital |hospital |hospitals,2014100720,10198,7,6.864090998234948E-4
hospital |hospital |hospitals,2014100723,5300,7,0.0013207547169811322
hospital |hospital |hospitals,2014100520,14801,22,0.0014863860549962841
hospital |hospital |hospitals,2014100523,12605,7,5.553351844506148E-4
hospital |hospital |hospitals,2014100522,10915,7,6.41319285387082E-4
hospital |hospital |hospitals,2014100521,14363,10,6.962333774281139E-4
hospital |hospital |hospitals,2014100623,8800,19,0.002159090909090909
hospital |hospital |hospitals,2014100622,9000,12,0.0013333333333333333
hospital |hospital |hospitals,2014100621,9007,5,5.55123792605751E-4
hospital |hospital |hospitals,2014100620,8998,3,3.3340742387197157E-4
hospital |hospital |hospitals,2014093011,9741,7,7.186120521507032E-4
hospital |hospital |hospitals,2014093012,11191,5,4.4678759717630236E-4
hospital |hospital |hospitals,2014093013,5267,6,0.001139168407062844
hospital |hospital |hospitals,2014093017,3899,3,7.694280584765325E-4
hospital |hospital |hospitals,2014093018,99,0,0.0
hospital |hospital |hospitals,2014093019,8564,6,7.006071929005138E-4
