sex |sex,2014100804,8238,0,0.0
sex |sex,2014100610,8565,10,0.0011675423234092236
sex |sex,2014100713,7382,8,0.001083717149823896
sex |sex,2014100805,6904,4,5.793742757821553E-4
sex |sex,2014100611,8676,9,0.001037344398340249
sex |sex,2014100714,9294,9,9.683666881859264E-4
sex |sex,2014100806,7696,2,2.598752598752599E-4
sex |sex,2014100612,7761,5,6.442468754026543E-4
sex |sex,2014100715,8494,5,5.886508123381211E-4
sex |sex,2014100807,6298,8,0.0012702445220704986
sex |sex,2014100519,13547,15,0.0011072562190890972
sex |sex,2014100809,5933,9,0.0015169391538850498
sex |sex,2014100518,12589,11,8.737786956867106E-4
sex |sex,2014100808,7916,21,0.002652854977261243
sex |sex,2014100410,8297,7,8.436784379896348E-4
sex |sex,2014100412,8252,8,9.694619486185168E-4
sex |sex,2014100515,6526,6,9.193993257738277E-4
sex |sex,2014100411,8736,10,0.0011446886446886447
sex |sex,2014100514,7337,3,4.088864658579801E-4
sex |sex,2014100414,8029,9,0.0011209366048075726
sex |sex,2014100517,16635,3,1.8034265103697024E-4
sex |sex,2014100413,7649,2,2.6147208785462153E-4
sex |sex,2014100516,7164,10,0.0013958682300390843
sex |sex,2014100416,8535,3,3.51493848857645E-4
sex |sex,2014100511,8203,8,9.752529562355236E-4
sex |sex,2014100415,9288,5,5.383290267011198E-4
sex |sex,2014100510,7389,6,8.120178643930166E-4
sex |sex,2014100418,8794,15,0.0017057084375710712
sex |sex,2014100513,8653,4,4.6226742170345545E-4
sex |sex,2014100417,9001,3,3.3329630041106545E-4
sex |sex,2014100512,7658,9,0.0011752415774353617
sex |sex,2014100908,14247,8,5.615217238716922E-4
sex |sex,2014100907,7751,2,2.580312217778351E-4
sex |sex,2014100419,8630,17,0.0019698725376593278
sex |sex,2014100909,1000,1,0.001
sex |sex,2014100721,11447,13,0.0011356687341661572
sex |sex,2014100722,8294,5,6.028454304316373E-4
sex |sex,2014100720,10198,19,0.0018631104138066288
sex |sex,2014100723,5300,1,1.8867924528301886E-4
sex |sex,2014100520,14801,6,4.0537801499898656E-4
sex |sex,2014100523,12605,9,7.140023800079334E-4
sex |sex,2014100522,10915,14,0.001282638570774164
sex |sex,2014100521,14363,12,8.354800529137366E-4
sex |sex,2014100623,8800,1,1.1363636363636364E-4
sex |sex,2014100622,9000,9,0.001
sex |sex,2014100621,9007,9,9.99222826690352E-4
sex |sex,2014100620,8998,9,0.0010002222716159147
sex |sex,2014093011,9741,7,7.186120521507032E-4
sex |sex,2014093012,11191,9,8.042176749173443E-4
sex |sex,2014093013,5267,5,9.493070058857034E-4
sex |sex,2014093017,3899,11,0.0028212362144139523
sex |sex,2014093018,99,0,0.0
sex |sex,2014093019,8564,5,5.838393274170948E-4
