building |building |buildings,2014100805,6904,3,4.3453070683661645E-4
building |building |buildings,2014100611,8676,10,0.001152604887044721
building |building |buildings,2014100714,9294,14,0.001506348181622552
building |building |buildings,2014100806,7696,5,6.496881496881497E-4
building |building |buildings,2014100612,7761,13,0.0016750418760469012
building |building |buildings,2014100715,8494,12,0.0014127619496114904
building |building |buildings,2014100807,6298,3,4.76341695776437E-4
building |building |buildings,2014100519,13547,9,6.643537314534584E-4
building |building |buildings,2014100809,5933,7,0.0011798415641328165
building |building |buildings,2014100518,12589,5,3.9717213440305027E-4
building |building |buildings,2014100808,7916,5,6.316321374431531E-4
building |building |buildings,2014100410,8297,8,9.642039291310112E-4
building |building |buildings,2014100412,8252,1,1.211827435773146E-4
building |building |buildings,2014100515,6526,5,7.661661048115232E-4
building |building |buildings,2014100411,8736,17,0.001945970695970696
building |building |buildings,2014100514,7337,6,8.177729317159602E-4
building |building |buildings,2014100414,8029,5,6.227425582264292E-4
building |building |buildings,2014100517,16635,6,3.606853020739405E-4
building |building |buildings,2014100413,7649,7,9.151523074911753E-4
building |building |buildings,2014100516,7164,3,4.187604690117253E-4
building |building |buildings,2014100416,8535,6,7.0298769771529E-4
building |building |buildings,2014100511,8203,9,0.001097159575764964
building |building |buildings,2014100415,9288,7,7.536606373815676E-4
building |building |buildings,2014100510,7389,17,0.0023007172824468804
building |building |buildings,2014100418,8794,6,6.822833750284285E-4
building |building |buildings,2014100513,8653,6,6.934011325551831E-4
building |building |buildings,2014100417,9001,2,2.2219753360737697E-4
building |building |buildings,2014100512,7658,4,5.223295899712719E-4
building |building |buildings,2014100908,14247,4,2.807608619358461E-4
building |building |buildings,2014100907,7751,1,1.2901561088891756E-4
building |building |buildings,2014100419,8630,5,5.793742757821553E-4
building |building |buildings,2014100909,1000,2,0.002
building |building |buildings,2014100721,11447,9,7.862322005765703E-4
building |building |buildings,2014100722,8294,7,8.439836026042923E-4
building |building |buildings,2014100720,10198,2,1.9611688566385565E-4
building |building |buildings,2014100723,5300,3,5.660377358490566E-4
building |building |buildings,2014100520,14801,8,5.405040199986487E-4
building |building |buildings,2014100523,12605,2,1.5866719555731853E-4
building |building |buildings,2014100522,10915,9,8.245533669262483E-4
building |building |buildings,2014100521,14363,4,2.7849335097124555E-4
building |building |buildings,2014100623,8800,3,3.4090909090909094E-4
building |building |buildings,2014100622,9000,4,4.4444444444444447E-4
building |building |buildings,2014100621,9007,10,0.001110247585211502
building |building |buildings,2014100620,8998,6,6.668148477439431E-4
building |building |buildings,2014093011,9741,7,7.186120521507032E-4
building |building |buildings,2014093012,11191,9,8.042176749173443E-4
building |building |buildings,2014093013,5267,2,3.7972280235428136E-4
building |building |buildings,2014093017,3899,11,0.0028212362144139523
building |building |buildings,2014093018,99,0,0.0
building |building |buildings,2014093019,8564,8,9.341429238673517E-4
