man |man,2014100711,13474,55,0.004081935579634852
man |man,2014100617,11523,330,0.02863837542306691
man |man,2014100900,3864,17,0.004399585921325052
man |man,2014100618,10834,156,0.014399113900683035
man |man,2014100901,3052,5,0.00163826998689384
man |man,2014100619,10472,78,0.007448433919022154
man |man,2014100902,4916,12,0.0024410089503661514
man |man,2014100716,9756,47,0.004817548175481755
man |man,2014100800,3418,14,0.004095962551199532
man |man,2014100717,12018,85,0.007072724246962889
man |man,2014100801,4912,15,0.0030537459283387623
man |man,2014100718,9824,51,0.0051913680781758955
man |man,2014100802,4582,9,0.001964207769532955
man |man,2014100719,8904,45,0.005053908355795148
man |man,2014100803,4750,16,0.003368421052631579
man |man,2014100712,10146,32,0.003153952296471516
man |man,2014100804,8238,9,0.0010924981791697013
man |man,2014100610,8565,26,0.0030356100408639813
man |man,2014100713,7382,35,0.004741262530479545
man |man,2014100805,6904,8,0.0011587485515643105
man |man,2014100611,8676,46,0.005301982480405717
man |man,2014100714,9294,33,0.0035506778566817302
man |man,2014100806,7696,14,0.0018191268191268192
man |man,2014100612,7761,18,0.0023192887514495554
man |man,2014100715,8494,41,0.004826936661172593
man |man,2014100807,6298,31,0.004922197523023182
man |man,2014100519,13547,61,0.004502841957628996
man |man,2014100809,5933,27,0.004550817461655149
man |man,2014100518,12589,35,0.002780204940821352
man |man,2014100808,7916,40,0.005053057099545225
man |man,2014100410,8297,28,0.0033747137519585394
man |man,2014100412,8252,35,0.004241396025206011
man |man,2014100515,6526,36,0.0055163959546429666
man |man,2014100411,8736,27,0.0030906593406593405
man |man,2014100514,7337,30,0.004088864658579801
man |man,2014100414,8029,35,0.004359197907585004
man |man,2014100517,16635,40,0.0024045686804929365
man |man,2014100413,7649,38,0.004967969669237808
man |man,2014100516,7164,36,0.005025125628140704
man |man,2014100416,8535,47,0.005506736965436438
man |man,2014100511,8203,27,0.0032914787272948923
man |man,2014100415,9288,24,0.002583979328165375
man |man,2014100510,7389,24,0.0032480714575720666
man |man,2014100418,8794,42,0.0047759836251989995
man |man,2014100513,8653,42,0.0048538079278862825
man |man,2014100417,9001,50,0.005554938340184424
man |man,2014100512,7658,22,0.002872812744841995
man |man,2014100908,14247,47,0.0032989401277461923
man |man,2014100907,7751,17,0.0021932653851115987
man |man,2014100419,8630,27,0.0031286210892236383
man |man,2014100909,1000,1,0.001
man |man,2014100721,11447,54,0.0047173932034594215
man |man,2014100722,8294,62,0.0074752833373523024
man |man,2014100720,10198,39,0.003824279270445185
man |man,2014100723,5300,13,0.0024528301886792454
man |man,2014100520,14801,55,0.00371596513749071
man |man,2014100523,12605,92,0.007298690995636652
man |man,2014100522,10915,68,0.006229958772331653
man |man,2014100521,14363,131,0.009120657244308291
man |man,2014100623,8800,96,0.01090909090909091
man |man,2014100622,9000,91,0.01011111111111111
man |man,2014100621,9007,96,0.01065837681803042
man |man,2014100620,8998,117,0.01300288953100689
man |man,2014093011,9741,86,0.008828662354994354
man |man,2014093012,11191,81,0.007237959074256099
man |man,2014093013,5267,47,0.008923485855325613
man |man,2014093017,3899,26,0.006668376506796614
man |man,2014093018,99,0,0.0
man |man,2014093019,8564,37,0.004320411022886501
