british |British,2014100909,1000,0,0.0
british |British,2014100721,11447,3,2.620774001921901E-4
british |British,2014100722,8294,3,3.617072582589824E-4
british |British,2014100720,10198,2,1.9611688566385565E-4
british |British,2014100723,5300,1,1.8867924528301886E-4
british |British,2014100520,14801,4,2.7025200999932435E-4
british |British,2014100523,12605,3,2.380007933359778E-4
british |British,2014100522,10915,1,9.161704076958314E-5
british |British,2014100521,14363,2,1.3924667548562277E-4
british |British,2014100623,8800,2,2.2727272727272727E-4
british |British,2014100622,9000,1,1.1111111111111112E-4
british |British,2014100621,9007,0,0.0
british |British,2014100620,8998,3,3.3340742387197157E-4
british |British,2014093011,9741,1,1.026588645929576E-4
british |British,2014093012,11191,0,0.0
british |British,2014093013,5267,0,0.0
british |British,2014093017,3899,3,7.694280584765325E-4
british |British,2014093018,99,0,0.0
british |British,2014093019,8564,2,2.3353573096683791E-4
