nrl grand final |NRL Grand Final |NRL grand final,2014100500,11540,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100404,3086,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100409,9932,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100408,10458,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100903,4141,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100613,12260,2,1.631321370309951E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100904,4854,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100614,10247,2,1.9517907680296673E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100905,7777,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100615,8801,3,3.408703556414044E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100710,7431,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100906,3505,1,2.853067047075606E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100616,10833,4,3.6924213052709313E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100711,13474,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100617,11523,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100900,3864,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100618,10834,5,4.6151006091932806E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100901,3052,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100619,10472,2,1.9098548510313216E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100902,4916,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100716,9756,1,1.025010250102501E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100800,3418,1,2.925687536571094E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100717,12018,1,8.320852055250458E-5
nrl grand final |NRL Grand Final |NRL grand final,2014100801,4912,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100718,9824,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100802,4582,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100719,8904,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100803,4750,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100712,10146,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100804,8238,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100610,8565,4,4.670169293636894E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100713,7382,1,1.35464643727987E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100805,6904,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100611,8676,11,0.0012678653757491932
nrl grand final |NRL Grand Final |NRL grand final,2014100714,9294,1,1.0759629868732516E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100806,7696,0,0.0
nrl grand final |NRL Grand Final |NRL grand final,2014100612,7761,6,7.730962504831851E-4
nrl grand final |NRL Grand Final |NRL grand final,2014100715,8494,0,0.0
