industry |industry |Industry,2014100802,4582,2,4.3649061545176777E-4
industry |industry |Industry,2014100719,8904,12,0.0013477088948787063
industry |industry |Industry,2014100803,4750,1,2.105263157894737E-4
industry |industry |Industry,2014100712,10146,11,0.0010841711019120837
industry |industry |Industry,2014100804,8238,3,3.641660597232338E-4
industry |industry |Industry,2014100610,8565,4,4.670169293636894E-4
industry |industry |Industry,2014100713,7382,11,0.001490111081007857
industry |industry |Industry,2014100805,6904,0,0.0
industry |industry |Industry,2014100611,8676,6,6.915629322268327E-4
industry |industry |Industry,2014100714,9294,6,6.455777921239509E-4
industry |industry |Industry,2014100806,7696,4,5.197505197505198E-4
industry |industry |Industry,2014100612,7761,5,6.442468754026543E-4
industry |industry |Industry,2014100715,8494,8,9.418412997409936E-4
industry |industry |Industry,2014100807,6298,1,1.5878056525881233E-4
industry |industry |Industry,2014100519,13547,2,1.4763416254521297E-4
industry |industry |Industry,2014100809,5933,2,3.370975897522333E-4
industry |industry |Industry,2014100518,12589,0,0.0
industry |industry |Industry,2014100808,7916,8,0.001010611419909045
industry |industry |Industry,2014100410,8297,4,4.821019645655056E-4
industry |industry |Industry,2014100412,8252,5,6.059137178865729E-4
industry |industry |Industry,2014100515,6526,2,3.0646644192460924E-4
industry |industry |Industry,2014100411,8736,2,2.2893772893772894E-4
industry |industry |Industry,2014100514,7337,3,4.088864658579801E-4
industry |industry |Industry,2014100414,8029,8,9.963880931622867E-4
industry |industry |Industry,2014100517,16635,2,1.2022843402464683E-4
industry |industry |Industry,2014100413,7649,0,0.0
industry |industry |Industry,2014100516,7164,3,4.187604690117253E-4
industry |industry |Industry,2014100416,8535,6,7.0298769771529E-4
industry |industry |Industry,2014100511,8203,6,7.314397171766427E-4
industry |industry |Industry,2014100415,9288,8,8.613264427217916E-4
industry |industry |Industry,2014100510,7389,5,6.766815536608473E-4
industry |industry |Industry,2014100418,8794,1,1.1371389583807141E-4
industry |industry |Industry,2014100513,8653,2,2.3113371085172773E-4
industry |industry |Industry,2014100417,9001,4,4.4439506721475393E-4
industry |industry |Industry,2014100512,7658,2,2.6116479498563595E-4
industry |industry |Industry,2014100908,14247,5,3.5095107741980766E-4
industry |industry |Industry,2014100907,7751,11,0.0014191717197780931
industry |industry |Industry,2014100419,8630,8,9.269988412514484E-4
industry |industry |Industry,2014100909,1000,2,0.002
industry |industry |Industry,2014100721,11447,7,6.115139337817769E-4
industry |industry |Industry,2014100722,8294,6,7.234145165179648E-4
industry |industry |Industry,2014100720,10198,4,3.922337713277113E-4
industry |industry |Industry,2014100723,5300,3,5.660377358490566E-4
industry |industry |Industry,2014100520,14801,1,6.756300249983109E-5
industry |industry |Industry,2014100523,12605,1,7.933359777865926E-5
industry |industry |Industry,2014100522,10915,2,1.832340815391663E-4
industry |industry |Industry,2014100521,14363,3,2.0887001322843416E-4
industry |industry |Industry,2014100623,8800,3,3.4090909090909094E-4
industry |industry |Industry,2014100622,9000,7,7.777777777777777E-4
industry |industry |Industry,2014100621,9007,16,0.0017763961363384034
industry |industry |Industry,2014100620,8998,23,0.0025561235830184486
industry |industry |Industry,2014093011,9741,3,3.079765937788728E-4
industry |industry |Industry,2014093012,11191,4,3.574300777410419E-4
industry |industry |Industry,2014093013,5267,2,3.7972280235428136E-4
industry |industry |Industry,2014093017,3899,4,0.0010259040779687098
industry |industry |Industry,2014093018,99,0,0.0
industry |industry |Industry,2014093019,8564,8,9.341429238673517E-4
