parliament |parliament |Parliament,2014100418,8794,3,3.411416875142142E-4
parliament |parliament |Parliament,2014100513,8653,4,4.6226742170345545E-4
parliament |parliament |Parliament,2014100417,9001,12,0.0013331852016442618
parliament |parliament |Parliament,2014100512,7658,3,3.917471924784539E-4
parliament |parliament |Parliament,2014100908,14247,3,2.105706464518846E-4
parliament |parliament |Parliament,2014100907,7751,4,5.160624435556702E-4
parliament |parliament |Parliament,2014100419,8630,3,3.476245654692932E-4
parliament |parliament |Parliament,2014100909,1000,0,0.0
parliament |parliament |Parliament,2014100721,11447,2,1.747182667947934E-4
parliament |parliament |Parliament,2014100722,8294,0,0.0
parliament |parliament |Parliament,2014100720,10198,9,8.825259854873505E-4
parliament |parliament |Parliament,2014100723,5300,3,5.660377358490566E-4
parliament |parliament |Parliament,2014100520,14801,5,3.3781501249915546E-4
parliament |parliament |Parliament,2014100523,12605,10,7.933359777865926E-4
parliament |parliament |Parliament,2014100522,10915,5,4.580852038479157E-4
parliament |parliament |Parliament,2014100521,14363,2,1.3924667548562277E-4
parliament |parliament |Parliament,2014100623,8800,4,4.5454545454545455E-4
parliament |parliament |Parliament,2014100622,9000,7,7.777777777777777E-4
parliament |parliament |Parliament,2014100621,9007,3,3.3307427556345063E-4
parliament |parliament |Parliament,2014100620,8998,0,0.0
parliament |parliament |Parliament,2014093011,9741,0,0.0
parliament |parliament |Parliament,2014093012,11191,1,8.935751943526048E-5
parliament |parliament |Parliament,2014093013,5267,0,0.0
parliament |parliament |Parliament,2014093017,3899,0,0.0
parliament |parliament |Parliament,2014093018,99,0,0.0
parliament |parliament |Parliament,2014093019,8564,11,0.0012844465203176085
