monday |Monday,2014100512,7658,9,0.0011752415774353617
monday |Monday,2014100908,14247,2,1.4038043096792306E-4
monday |Monday,2014100907,7751,3,3.8704683266675265E-4
monday |Monday,2014100419,8630,7,8.111239860950173E-4
monday |Monday,2014100909,1000,1,0.001
monday |Monday,2014100721,11447,4,3.494365335895868E-4
monday |Monday,2014100722,8294,1,1.2056908608632747E-4
monday |Monday,2014100720,10198,10,9.805844283192783E-4
monday |Monday,2014100723,5300,3,5.660377358490566E-4
monday |Monday,2014100520,14801,6,4.0537801499898656E-4
monday |Monday,2014100523,12605,6,4.760015866719556E-4
monday |Monday,2014100522,10915,9,8.245533669262483E-4
monday |Monday,2014100521,14363,4,2.7849335097124555E-4
monday |Monday,2014100623,8800,4,4.5454545454545455E-4
monday |Monday,2014100622,9000,13,0.0014444444444444444
monday |Monday,2014100621,9007,15,0.0016653713778172533
monday |Monday,2014100620,8998,13,0.00144476550344521
monday |Monday,2014093011,9741,5,5.13294322964788E-4
monday |Monday,2014093012,11191,13,0.0011616477526583862
monday |Monday,2014093013,5267,4,7.594456047085627E-4
monday |Monday,2014093017,3899,2,5.129520389843549E-4
monday |Monday,2014093018,99,0,0.0
monday |Monday,2014093019,8564,11,0.0012844465203176085
