year |years,2014100522,10915,112,0.010261108566193312
year |years,2014100521,14363,266,0.01851980783958783
year |years,2014100623,8800,50,0.005681818181818182
year |years,2014100622,9000,124,0.013777777777777778
year |years,2014100621,9007,114,0.012656822471411125
year |years,2014100620,8998,87,0.009668815292287174
year |years,2014093011,9741,90,0.009239297813366184
year |years,2014093012,11191,104,0.00929318202126709
year |years,2014093013,5267,53,0.010062654262388457
year |years,2014093017,3899,27,0.006924852526288792
year |years,2014093018,99,0,0.0
year |years,2014093019,8564,70,0.008173750583839328
