cent |cent,2014100513,8653,0,0.0
cent |cent,2014100417,9001,1,1.1109876680368848E-4
cent |cent,2014100512,7658,0,0.0
cent |cent,2014100908,14247,1,7.019021548396153E-5
cent |cent,2014100907,7751,1,1.2901561088891756E-4
cent |cent,2014100419,8630,4,4.634994206257242E-4
cent |cent,2014100909,1000,0,0.0
cent |cent,2014100721,11447,4,3.494365335895868E-4
cent |cent,2014100722,8294,0,0.0
cent |cent,2014100720,10198,2,1.9611688566385565E-4
cent |cent,2014100723,5300,1,1.8867924528301886E-4
cent |cent,2014100520,14801,0,0.0
cent |cent,2014100523,12605,0,0.0
cent |cent,2014100522,10915,0,0.0
cent |cent,2014100521,14363,0,0.0
cent |cent,2014100623,8800,1,1.1363636363636364E-4
cent |cent,2014100622,9000,2,2.2222222222222223E-4
cent |cent,2014100621,9007,0,0.0
cent |cent,2014100620,8998,1,1.1113580795732385E-4
cent |cent,2014093011,9741,0,0.0
cent |cent,2014093012,11191,1,8.935751943526048E-5
cent |cent,2014093013,5267,0,0.0
cent |cent,2014093017,3899,0,0.0
cent |cent,2014093018,99,0,0.0
cent |cent,2014093019,8564,0,0.0
