hong |Hong,2014100720,10198,0,0.0
hong |Hong,2014100723,5300,0,0.0
hong |Hong,2014100520,14801,6,4.0537801499898656E-4
hong |Hong,2014100523,12605,12,9.520031733439112E-4
hong |Hong,2014100522,10915,19,0.0017407237746220798
hong |Hong,2014100521,14363,26,0.0018102067813130962
hong |Hong,2014100623,8800,1,1.1363636363636364E-4
hong |Hong,2014100622,9000,1,1.1111111111111112E-4
hong |Hong,2014100621,9007,2,2.2204951704230043E-4
hong |Hong,2014100620,8998,3,3.3340742387197157E-4
hong |Hong,2014093011,9741,17,0.0017452006980802793
hong |Hong,2014093012,11191,13,0.0011616477526583862
hong |Hong,2014093013,5267,8,0.0015188912094171254
hong |Hong,2014093017,3899,1,2.5647601949217746E-4
hong |Hong,2014093018,99,0,0.0
hong |Hong,2014093019,8564,10,0.0011676786548341896
