son |son,2014100314,9820,6,6.109979633401223E-4
son |son,2014100219,11100,4,3.6036036036036037E-4
son |son,2014100420,8163,2,2.450079627587897E-4
son |son,2014100315,10271,8,7.788920260928828E-4
son |son,2014100120,12122,8,6.599571027883187E-4
son |son,2014100421,8099,5,6.173601679219657E-4
son |son,2014100422,8432,3,3.557874762808349E-4
son |son,2014100423,6306,0,0.0
son |son,2014100310,10343,3,2.9005124238615487E-4
son |son,2014100311,11400,4,3.508771929824561E-4
son |son,2014100115,14152,2,1.4132278123233464E-4
son |son,2014100114,11535,2,1.7338534893801473E-4
son |son,2014100117,11365,9,7.919049714034316E-4
son |son,2014100116,10904,11,0.0010088041085840058
son |son,2014100111,9571,8,8.358583220144186E-4
son |son,2014100110,9126,2,2.1915406530791147E-4
son |son,2014100823,5727,2,3.4922297887200976E-4
son |son,2014100113,11543,9,7.7969332062722E-4
son |son,2014100822,900,0,0.0
son |son,2014100112,11651,3,2.57488627585615E-4
son |son,2014100119,11403,4,3.507848811716215E-4
son |son,2014100118,10294,8,7.771517388770158E-4
son |son,2014100604,4638,0,0.0
son |son,2014100605,8675,1,1.1527377521613833E-4
son |son,2014100700,5207,3,5.761474937584022E-4
son |son,2014100914,3191,2,6.267627702914447E-4
son |son,2014100602,8176,0,0.0
son |son,2014100915,1000,0,0.0
son |son,2014100603,9384,4,4.2625745950554135E-4
son |son,2014100912,2545,0,0.0
son |son,2014100608,13680,4,2.9239766081871346E-4
son |son,2014100913,6771,4,5.907546891153448E-4
son |son,2014100609,13287,7,5.268307368104162E-4
son |son,2014100810,6053,0,0.0
son |son,2014100606,4334,1,2.3073373327180433E-4
son |son,2014100607,6194,0,0.0
son |son,2014100707,4802,4,8.329862557267805E-4
son |son,2014100813,7061,2,2.83245999150262E-4
son |son,2014100708,5400,4,7.407407407407407E-4
son |son,2014100814,6011,0,0.0
son |son,2014100705,2740,0,0.0
son |son,2014100811,6604,7,0.0010599636583888553
son |son,2014100706,3398,0,0.0
son |son,2014100812,5896,5,8.480325644504749E-4
son |son,2014100817,6743,3,4.449058282663503E-4
son |son,2014100600,15771,3,1.9022256039566293E-4
son |son,2014100703,5792,1,1.7265193370165745E-4
son |son,2014100818,7400,5,6.756756756756757E-4
son |son,2014100601,8669,2,2.3070711731456916E-4
son |son,2014100704,3010,2,6.64451827242525E-4
son |son,2014100815,5628,4,7.107320540156361E-4
son |son,2014100701,13455,0,0.0
son |son,2014100816,7857,3,3.8182512409316535E-4
son |son,2014100702,8524,4,4.692632566870014E-4
son |son,2014100509,9287,1,1.076773985140519E-4
son |son,2014100508,6498,2,3.077870113881194E-4
son |son,2014100819,4300,8,0.0018604651162790699
son |son,2014100507,16911,2,1.182662172550411E-4
son |son,2014100403,6749,2,2.96340198547933E-4
son |son,2014100506,11836,0,0.0
son |son,2014100402,6613,1,1.5121729925903524E-4
son |son,2014100505,6487,0,0.0
son |son,2014100401,4570,3,6.564551422319475E-4
son |son,2014100504,3861,0,0.0
son |son,2014100400,5285,1,1.892147587511826E-4
son |son,2014100503,4540,0,0.0
son |son,2014100709,5572,0,0.0
son |son,2014100407,7111,5,7.031359864997891E-4
son |son,2014100406,10763,1,9.2910898448388E-5
son |son,2014100501,6148,0,0.0
son |son,2014100405,10366,1,9.646922631680494E-5
son |son,2014100500,11540,0,0.0
son |son,2014100404,3086,1,3.240440699935191E-4
son |son,2014100409,9932,1,1.0068465565847765E-4
