scheme |schemes |scheme,2014100610,8565,0,0.0
scheme |schemes |scheme,2014100713,7382,1,1.35464643727987E-4
scheme |schemes |scheme,2014100805,6904,2,2.8968713789107763E-4
scheme |schemes |scheme,2014100611,8676,0,0.0
scheme |schemes |scheme,2014100714,9294,2,2.1519259737465033E-4
scheme |schemes |scheme,2014100806,7696,2,2.598752598752599E-4
scheme |schemes |scheme,2014100612,7761,0,0.0
scheme |schemes |scheme,2014100715,8494,2,2.354603249352484E-4
scheme |schemes |scheme,2014100807,6298,0,0.0
scheme |schemes |scheme,2014100519,13547,0,0.0
scheme |schemes |scheme,2014100809,5933,1,1.6854879487611664E-4
scheme |schemes |scheme,2014100518,12589,0,0.0
scheme |schemes |scheme,2014100808,7916,0,0.0
scheme |schemes |scheme,2014100410,8297,0,0.0
scheme |schemes |scheme,2014100412,8252,0,0.0
scheme |schemes |scheme,2014100515,6526,1,1.5323322096230462E-4
scheme |schemes |scheme,2014100411,8736,2,2.2893772893772894E-4
scheme |schemes |scheme,2014100514,7337,0,0.0
scheme |schemes |scheme,2014100414,8029,0,0.0
scheme |schemes |scheme,2014100517,16635,0,0.0
scheme |schemes |scheme,2014100413,7649,0,0.0
scheme |schemes |scheme,2014100516,7164,0,0.0
scheme |schemes |scheme,2014100416,8535,0,0.0
scheme |schemes |scheme,2014100511,8203,0,0.0
scheme |schemes |scheme,2014100415,9288,0,0.0
scheme |schemes |scheme,2014100510,7389,0,0.0
scheme |schemes |scheme,2014100418,8794,0,0.0
scheme |schemes |scheme,2014100513,8653,0,0.0
scheme |schemes |scheme,2014100417,9001,1,1.1109876680368848E-4
scheme |schemes |scheme,2014100512,7658,1,1.3058239749281798E-4
scheme |schemes |scheme,2014100908,14247,6,4.211412929037692E-4
scheme |schemes |scheme,2014100907,7751,7,9.031092762224229E-4
scheme |schemes |scheme,2014100419,8630,0,0.0
scheme |schemes |scheme,2014100909,1000,0,0.0
scheme |schemes |scheme,2014100721,11447,0,0.0
scheme |schemes |scheme,2014100722,8294,2,2.4113817217265494E-4
scheme |schemes |scheme,2014100720,10198,0,0.0
scheme |schemes |scheme,2014100723,5300,2,3.773584905660377E-4
