boy |Boys |boys |boy,2014100904,4854,3,6.180469715698393E-4
boy |Boys |boys |boy,2014100614,10247,47,0.004586708304869718
boy |Boys |boys |boy,2014100905,7777,13,0.0016715957310016716
boy |Boys |boys |boy,2014100615,8801,31,0.003522327008294512
boy |Boys |boys |boy,2014100710,7431,22,0.002960570582694119
boy |Boys |boys |boy,2014100906,3505,18,0.005135520684736091
boy |Boys |boys |boy,2014100616,10833,58,0.0053540108926428505
boy |Boys |boys |boy,2014100711,13474,33,0.0024491613477809113
boy |Boys |boys |boy,2014100617,11523,41,0.003558101188926495
boy |Boys |boys |boy,2014100900,3864,15,0.0038819875776397515
boy |Boys |boys |boy,2014100618,10834,48,0.004430496584825549
boy |Boys |boys |boy,2014100901,3052,3,9.82961992136304E-4
boy |Boys |boys |boy,2014100619,10472,59,0.005634071810542399
boy |Boys |boys |boy,2014100902,4916,8,0.0016273393002441008
boy |Boys |boys |boy,2014100716,9756,27,0.0027675276752767526
boy |Boys |boys |boy,2014100800,3418,24,0.007021650087770626
boy |Boys |boys |boy,2014100717,12018,58,0.0048260941920452655
boy |Boys |boys |boy,2014100801,4912,9,0.0018322475570032573
boy |Boys |boys |boy,2014100718,9824,44,0.004478827361563518
boy |Boys |boys |boy,2014100802,4582,7,0.0015277171540811873
boy |Boys |boys |boy,2014100719,8904,22,0.0024707996406109615
boy |Boys |boys |boy,2014100803,4750,10,0.002105263157894737
boy |Boys |boys |boy,2014100712,10146,23,0.0022669032130889022
boy |Boys |boys |boy,2014100804,8238,3,3.641660597232338E-4
boy |Boys |boys |boy,2014100610,8565,34,0.00396964389959136
boy |Boys |boys |boy,2014100713,7382,34,0.004605797886751558
boy |Boys |boys |boy,2014100805,6904,9,0.0013035921205098494
boy |Boys |boys |boy,2014100611,8676,27,0.0031120331950207467
boy |Boys |boys |boy,2014100714,9294,27,0.002905100064557779
boy |Boys |boys |boy,2014100806,7696,12,0.0015592515592515593
boy |Boys |boys |boy,2014100612,7761,42,0.005411673753382296
boy |Boys |boys |boy,2014100715,8494,25,0.002943254061690605
boy |Boys |boys |boy,2014100807,6298,18,0.0028580501746586218
boy |Boys |boys |boy,2014100519,13547,63,0.004650476120174208
boy |Boys |boys |boy,2014100809,5933,18,0.0030338783077700996
boy |Boys |boys |boy,2014100518,12589,42,0.003336245928985622
boy |Boys |boys |boy,2014100808,7916,22,0.0027791814047498737
boy |Boys |boys |boy,2014100410,8297,42,0.005062070627937809
boy |Boys |boys |boy,2014100412,8252,56,0.0067862336403296175
boy |Boys |boys |boy,2014100515,6526,49,0.007508427827152927
boy |Boys |boys |boy,2014100411,8736,87,0.009958791208791208
boy |Boys |boys |boy,2014100514,7337,75,0.010222161646449502
boy |Boys |boys |boy,2014100414,8029,36,0.0044837464192302905
boy |Boys |boys |boy,2014100517,16635,70,0.004207995190862639
boy |Boys |boys |boy,2014100413,7649,39,0.005098705713165119
boy |Boys |boys |boy,2014100516,7164,62,0.008654383026242322
boy |Boys |boys |boy,2014100416,8535,34,0.003983596953719977
boy |Boys |boys |boy,2014100511,8203,38,0.004632451542118737
boy |Boys |boys |boy,2014100415,9288,42,0.004521963824289405
boy |Boys |boys |boy,2014100510,7389,28,0.0037894167005007445
boy |Boys |boys |boy,2014100418,8794,52,0.005913122583579713
boy |Boys |boys |boy,2014100513,8653,68,0.007858546168958742
boy |Boys |boys |boy,2014100417,9001,40,0.004443950672147539
boy |Boys |boys |boy,2014100512,7658,133,0.01736745886654479
boy |Boys |boys |boy,2014100908,14247,15,0.0010528532322594231
boy |Boys |boys |boy,2014100907,7751,12,0.0015481873306670106
boy |Boys |boys |boy,2014100419,8630,42,0.004866743916570104
boy |Boys |boys |boy,2014100909,1000,0,0.0
boy |Boys |boys |boy,2014100721,11447,62,0.005416266270638595
boy |Boys |boys |boy,2014100722,8294,27,0.0032553653243308418
boy |Boys |boys |boy,2014100720,10198,57,0.005589331241419886
boy |Boys |boys |boy,2014100723,5300,22,0.004150943396226415
boy |Boys |boys |boy,2014100520,14801,70,0.004729410174988177
boy |Boys |boys |boy,2014100523,12605,87,0.006902023006743356
boy |Boys |boys |boy,2014100522,10915,79,0.007237746220797068
boy |Boys |boys |boy,2014100521,14363,166,0.01155747406530669
boy |Boys |boys |boy,2014100623,8800,27,0.003068181818181818
boy |Boys |boys |boy,2014100622,9000,23,0.0025555555555555557
boy |Boys |boys |boy,2014100621,9007,29,0.0032197179971133563
boy |Boys |boys |boy,2014100620,8998,45,0.005001111358079573
boy |Boys |boys |boy,2014093011,9741,103,0.010573863053074633
boy |Boys |boys |boy,2014093012,11191,60,0.005361451166115629
boy |Boys |boys |boy,2014093013,5267,28,0.005316119232959939
boy |Boys |boys |boy,2014093017,3899,22,0.0056424724288279045
boy |Boys |boys |boy,2014093018,99,0,0.0
boy |Boys |boys |boy,2014093019,8564,51,0.0059551611396543675
