action |action |actions,2014100710,7431,12,0.0016148566814695195
action |action |actions,2014100906,3505,3,8.559201141226819E-4
action |action |actions,2014100616,10833,9,8.307947936859596E-4
action |action |actions,2014100711,13474,7,5.195190737717084E-4
action |action |actions,2014100617,11523,14,0.0012149613815846567
action |action |actions,2014100900,3864,4,0.0010351966873706005
action |action |actions,2014100618,10834,12,0.0011076241462063873
action |action |actions,2014100901,3052,2,6.55307994757536E-4
action |action |actions,2014100619,10472,10,9.549274255156608E-4
action |action |actions,2014100902,4916,3,6.102522375915378E-4
action |action |actions,2014100716,9756,6,6.150061500615006E-4
action |action |actions,2014100800,3418,6,0.0017554125219426564
action |action |actions,2014100717,12018,10,8.320852055250458E-4
action |action |actions,2014100801,4912,1,2.0358306188925082E-4
action |action |actions,2014100718,9824,9,9.161237785016286E-4
action |action |actions,2014100802,4582,3,6.547359231776517E-4
action |action |actions,2014100719,8904,10,0.0011230907457322552
action |action |actions,2014100803,4750,0,0.0
action |action |actions,2014100712,10146,12,0.0011827321111768185
action |action |actions,2014100804,8238,0,0.0
action |action |actions,2014100610,8565,10,0.0011675423234092236
action |action |actions,2014100713,7382,11,0.001490111081007857
action |action |actions,2014100805,6904,1,1.4484356894553882E-4
action |action |actions,2014100611,8676,15,0.0017289073305670815
action |action |actions,2014100714,9294,11,0.0011835592855605767
action |action |actions,2014100806,7696,5,6.496881496881497E-4
action |action |actions,2014100612,7761,7,9.01945625563716E-4
action |action |actions,2014100715,8494,10,0.0011773016246762421
action |action |actions,2014100807,6298,6,9.52683391552874E-4
action |action |actions,2014100519,13547,3,2.2145124381781945E-4
action |action |actions,2014100809,5933,10,0.0016854879487611663
action |action |actions,2014100518,12589,5,3.9717213440305027E-4
action |action |actions,2014100808,7916,7,8.842849924204143E-4
action |action |actions,2014100410,8297,16,0.0019284078582620225
action |action |actions,2014100412,8252,8,9.694619486185168E-4
action |action |actions,2014100515,6526,12,0.0018387986515476554
action |action |actions,2014100411,8736,17,0.001945970695970696
action |action |actions,2014100514,7337,6,8.177729317159602E-4
action |action |actions,2014100414,8029,4,4.981940465811433E-4
action |action |actions,2014100517,16635,6,3.606853020739405E-4
action |action |actions,2014100413,7649,11,0.0014380964832004183
action |action |actions,2014100516,7164,8,0.0011166945840312675
action |action |actions,2014100416,8535,13,0.0015231400117164617
action |action |actions,2014100511,8203,10,0.0012190661952944045
action |action |actions,2014100415,9288,9,9.689922480620155E-4
action |action |actions,2014100510,7389,12,0.0016240357287860333
action |action |actions,2014100418,8794,5,5.685694791903571E-4
action |action |actions,2014100513,8653,6,6.934011325551831E-4
action |action |actions,2014100417,9001,9,9.998889012331964E-4
action |action |actions,2014100512,7658,9,0.0011752415774353617
action |action |actions,2014100908,14247,12,8.422825858075384E-4
action |action |actions,2014100907,7751,8,0.0010321248871113405
action |action |actions,2014100419,8630,25,0.0028968713789107765
action |action |actions,2014100909,1000,3,0.003
action |action |actions,2014100721,11447,8,6.988730671791736E-4
action |action |actions,2014100722,8294,12,0.0014468290330359296
action |action |actions,2014100720,10198,8,7.844675426554226E-4
action |action |actions,2014100723,5300,21,0.003962264150943396
action |action |actions,2014100520,14801,4,2.7025200999932435E-4
action |action |actions,2014100523,12605,9,7.140023800079334E-4
action |action |actions,2014100522,10915,7,6.41319285387082E-4
action |action |actions,2014100521,14363,17,0.0011835967416277935
action |action |actions,2014100623,8800,21,0.0023863636363636366
action |action |actions,2014100622,9000,13,0.0014444444444444444
action |action |actions,2014100621,9007,13,0.0014433218607749528
action |action |actions,2014100620,8998,11,0.0012224938875305623
action |action |actions,2014093011,9741,13,0.0013345652397084489
action |action |actions,2014093012,11191,32,0.002859440621928335
action |action |actions,2014093013,5267,5,9.493070058857034E-4
action |action |actions,2014093017,3899,3,7.694280584765325E-4
action |action |actions,2014093018,99,1,0.010101010101010102
action |action |actions,2014093019,8564,28,0.003269500233535731
