militant |militants |Militants,2014100907,7751,0,0.0
militant |militants |Militants,2014100419,8630,1,1.1587485515643106E-4
militant |militants |Militants,2014100909,1000,0,0.0
militant |militants |Militants,2014100721,11447,0,0.0
militant |militants |Militants,2014100722,8294,0,0.0
militant |militants |Militants,2014100720,10198,0,0.0
militant |militants |Militants,2014100723,5300,0,0.0
militant |militants |Militants,2014100520,14801,0,0.0
militant |militants |Militants,2014100523,12605,0,0.0
militant |militants |Militants,2014100522,10915,1,9.161704076958314E-5
militant |militants |Militants,2014100521,14363,3,2.0887001322843416E-4
militant |militants |Militants,2014100623,8800,0,0.0
militant |militants |Militants,2014100622,9000,0,0.0
militant |militants |Militants,2014100621,9007,0,0.0
militant |militants |Militants,2014100620,8998,0,0.0
militant |militants |Militants,2014093011,9741,0,0.0
militant |militants |Militants,2014093012,11191,0,0.0
militant |militants |Militants,2014093013,5267,1,1.8986140117714068E-4
militant |militants |Militants,2014093017,3899,0,0.0
militant |militants |Militants,2014093018,99,0,0.0
militant |militants |Militants,2014093019,8564,2,2.3353573096683791E-4
