deal |DEAL |deal |deals,2014100807,6298,6,9.52683391552874E-4
deal |DEAL |deal |deals,2014100519,13547,9,6.643537314534584E-4
deal |DEAL |deal |deals,2014100809,5933,15,0.0025282319231417494
deal |DEAL |deal |deals,2014100518,12589,12,9.532131225673207E-4
deal |DEAL |deal |deals,2014100808,7916,8,0.001010611419909045
deal |DEAL |deal |deals,2014100410,8297,15,0.001807882367120646
deal |DEAL |deal |deals,2014100412,8252,12,0.001454192922927775
deal |DEAL |deal |deals,2014100515,6526,6,9.193993257738277E-4
deal |DEAL |deal |deals,2014100411,8736,6,6.868131868131869E-4
deal |DEAL |deal |deals,2014100514,7337,2,2.725909772386534E-4
deal |DEAL |deal |deals,2014100414,8029,13,0.0016191306513887158
deal |DEAL |deal |deals,2014100517,16635,3,1.8034265103697024E-4
deal |DEAL |deal |deals,2014100413,7649,5,6.536802196365538E-4
deal |DEAL |deal |deals,2014100516,7164,5,6.979341150195422E-4
deal |DEAL |deal |deals,2014100416,8535,5,5.858230814294083E-4
deal |DEAL |deal |deals,2014100511,8203,8,9.752529562355236E-4
deal |DEAL |deal |deals,2014100415,9288,12,0.0012919896640826874
deal |DEAL |deal |deals,2014100510,7389,2,2.706726214643389E-4
deal |DEAL |deal |deals,2014100418,8794,5,5.685694791903571E-4
deal |DEAL |deal |deals,2014100513,8653,8,9.245348434069109E-4
deal |DEAL |deal |deals,2014100417,9001,13,0.0014442839684479503
deal |DEAL |deal |deals,2014100512,7658,8,0.0010446591799425438
deal |DEAL |deal |deals,2014100908,14247,11,7.720923703235769E-4
deal |DEAL |deal |deals,2014100907,7751,6,7.740936653335053E-4
deal |DEAL |deal |deals,2014100419,8630,14,0.0016222479721900347
deal |DEAL |deal |deals,2014100909,1000,0,0.0
deal |DEAL |deal |deals,2014100721,11447,15,0.0013103870009609504
deal |DEAL |deal |deals,2014100722,8294,11,0.001326259946949602
deal |DEAL |deal |deals,2014100720,10198,18,0.001765051970974701
deal |DEAL |deal |deals,2014100723,5300,10,0.0018867924528301887
deal |DEAL |deal |deals,2014100520,14801,10,6.756300249983109E-4
deal |DEAL |deal |deals,2014100523,12605,7,5.553351844506148E-4
deal |DEAL |deal |deals,2014100522,10915,15,0.001374255611543747
deal |DEAL |deal |deals,2014100521,14363,11,7.658567151709253E-4
deal |DEAL |deal |deals,2014100623,8800,11,0.00125
deal |DEAL |deal |deals,2014100622,9000,89,0.009888888888888888
deal |DEAL |deal |deals,2014100621,9007,27,0.002997668480071056
deal |DEAL |deal |deals,2014100620,8998,24,0.0026672593909757725
deal |DEAL |deal |deals,2014093011,9741,17,0.0017452006980802793
deal |DEAL |deal |deals,2014093012,11191,20,0.0017871503887052094
deal |DEAL |deal |deals,2014093013,5267,6,0.001139168407062844
deal |DEAL |deal |deals,2014093017,3899,3,7.694280584765325E-4
deal |DEAL |deal |deals,2014093018,99,1,0.010101010101010102
deal |DEAL |deal |deals,2014093019,8564,21,0.0024521251751517983
