brisbane |Brisbane,2014100413,7649,4,5.229441757092431E-4
brisbane |Brisbane,2014100516,7164,5,6.979341150195422E-4
brisbane |Brisbane,2014100416,8535,5,5.858230814294083E-4
brisbane |Brisbane,2014100511,8203,3,3.6571985858832134E-4
brisbane |Brisbane,2014100415,9288,4,4.306632213608958E-4
brisbane |Brisbane,2014100510,7389,12,0.0016240357287860333
brisbane |Brisbane,2014100418,8794,3,3.411416875142142E-4
brisbane |Brisbane,2014100513,8653,8,9.245348434069109E-4
brisbane |Brisbane,2014100417,9001,3,3.3329630041106545E-4
brisbane |Brisbane,2014100512,7658,8,0.0010446591799425438
brisbane |Brisbane,2014100908,14247,11,7.720923703235769E-4
brisbane |Brisbane,2014100907,7751,7,9.031092762224229E-4
brisbane |Brisbane,2014100419,8630,9,0.0010428736964078794
brisbane |Brisbane,2014100909,1000,3,0.003
brisbane |Brisbane,2014100721,11447,4,3.494365335895868E-4
brisbane |Brisbane,2014100722,8294,1,1.2056908608632747E-4
brisbane |Brisbane,2014100720,10198,4,3.922337713277113E-4
brisbane |Brisbane,2014100723,5300,0,0.0
brisbane |Brisbane,2014100520,14801,3,2.0268900749949328E-4
brisbane |Brisbane,2014100523,12605,0,0.0
brisbane |Brisbane,2014100522,10915,2,1.832340815391663E-4
brisbane |Brisbane,2014100521,14363,4,2.7849335097124555E-4
brisbane |Brisbane,2014100623,8800,4,4.5454545454545455E-4
brisbane |Brisbane,2014100622,9000,4,4.4444444444444447E-4
brisbane |Brisbane,2014100621,9007,7,7.771733096480515E-4
brisbane |Brisbane,2014100620,8998,8,8.890864636585908E-4
brisbane |Brisbane,2014093011,9741,4,4.106354583718304E-4
brisbane |Brisbane,2014093012,11191,8,7.148601554820838E-4
brisbane |Brisbane,2014093013,5267,2,3.7972280235428136E-4
brisbane |Brisbane,2014093017,3899,4,0.0010259040779687098
brisbane |Brisbane,2014093018,99,0,0.0
brisbane |Brisbane,2014093019,8564,7,8.173750583839327E-4
