melbourne |Melbourne,2014100623,8800,29,0.0032954545454545454
melbourne |Melbourne,2014100622,9000,71,0.00788888888888889
melbourne |Melbourne,2014100621,9007,72,0.007993782613522816
melbourne |Melbourne,2014100620,8998,74,0.008224049788841965
melbourne |Melbourne,2014093011,9741,109,0.011189816240632379
melbourne |Melbourne,2014093012,11191,80,0.007148601554820838
melbourne |Melbourne,2014093013,5267,90,0.017087526105942663
melbourne |Melbourne,2014093017,3899,48,0.01231084893562452
melbourne |Melbourne,2014093018,99,1,0.010101010101010102
melbourne |Melbourne,2014093019,8564,96,0.011209715086408221
