trade |Trade |trade |trades,2014100900,3864,7,0.0018115942028985507
trade |Trade |trade |trades,2014100618,10834,23,0.0021229462802289088
trade |Trade |trade |trades,2014100901,3052,1,3.27653997378768E-4
trade |Trade |trade |trades,2014100619,10472,29,0.0027692895339954163
trade |Trade |trade |trades,2014100902,4916,0,0.0
trade |Trade |trade |trades,2014100716,9756,44,0.004510045100451004
trade |Trade |trade |trades,2014100800,3418,4,0.0011702750146284377
trade |Trade |trade |trades,2014100717,12018,43,0.0035779663837576968
trade |Trade |trade |trades,2014100801,4912,5,0.001017915309446254
trade |Trade |trade |trades,2014100718,9824,32,0.003257328990228013
trade |Trade |trade |trades,2014100802,4582,0,0.0
trade |Trade |trade |trades,2014100719,8904,47,0.005278526504941599
trade |Trade |trade |trades,2014100803,4750,1,2.105263157894737E-4
trade |Trade |trade |trades,2014100712,10146,94,0.009264734870885078
trade |Trade |trade |trades,2014100804,8238,2,2.4277737314882253E-4
trade |Trade |trade |trades,2014100610,8565,24,0.0028021015761821367
trade |Trade |trade |trades,2014100713,7382,43,0.00582497968030344
trade |Trade |trade |trades,2014100805,6904,1,1.4484356894553882E-4
trade |Trade |trade |trades,2014100611,8676,19,0.00218994928538497
trade |Trade |trade |trades,2014100714,9294,25,0.002689907467183129
trade |Trade |trade |trades,2014100806,7696,2,2.598752598752599E-4
trade |Trade |trade |trades,2014100612,7761,10,0.0012884937508053087
trade |Trade |trade |trades,2014100715,8494,39,0.004591476336237344
trade |Trade |trade |trades,2014100807,6298,5,7.939028262940616E-4
trade |Trade |trade |trades,2014100519,13547,3,2.2145124381781945E-4
trade |Trade |trade |trades,2014100809,5933,48,0.008090342154053598
trade |Trade |trade |trades,2014100518,12589,5,3.9717213440305027E-4
trade |Trade |trade |trades,2014100808,7916,24,0.003031834259727135
trade |Trade |trade |trades,2014100410,8297,10,0.001205254911413764
trade |Trade |trade |trades,2014100412,8252,7,8.482792050412022E-4
