group |group |Group |groups,2014100615,8801,18,0.0020452221338484265
group |group |Group |groups,2014100710,7431,40,0.0053828556048983985
group |group |Group |groups,2014100906,3505,3,8.559201141226819E-4
group |group |Group |groups,2014100616,10833,28,0.002584694913689652
group |group |Group |groups,2014100711,13474,48,0.003562416505863144
group |group |Group |groups,2014100617,11523,19,0.0016488761607220343
group |group |Group |groups,2014100900,3864,6,0.0015527950310559005
group |group |Group |groups,2014100618,10834,6,5.538120731031936E-4
group |group |Group |groups,2014100901,3052,3,9.82961992136304E-4
group |group |Group |groups,2014100619,10472,10,9.549274255156608E-4
group |group |Group |groups,2014100902,4916,6,0.0012205044751830757
group |group |Group |groups,2014100716,9756,25,0.0025625256252562525
group |group |Group |groups,2014100800,3418,8,0.0023405500292568754
group |group |Group |groups,2014100717,12018,50,0.0041604260276252285
group |group |Group |groups,2014100801,4912,12,0.0024429967426710096
group |group |Group |groups,2014100718,9824,30,0.0030537459283387623
group |group |Group |groups,2014100802,4582,13,0.0028371890004364906
group |group |Group |groups,2014100719,8904,19,0.0021338724168912847
group |group |Group |groups,2014100803,4750,11,0.0023157894736842107
group |group |Group |groups,2014100712,10146,31,0.003055391287206781
group |group |Group |groups,2014100804,8238,8,9.711094925952901E-4
group |group |Group |groups,2014100610,8565,13,0.0015178050204319906
group |group |Group |groups,2014100713,7382,25,0.003386616093199675
group |group |Group |groups,2014100805,6904,8,0.0011587485515643105
group |group |Group |groups,2014100611,8676,19,0.00218994928538497
group |group |Group |groups,2014100714,9294,30,0.0032278889606197547
group |group |Group |groups,2014100806,7696,13,0.0016891891891891893
group |group |Group |groups,2014100612,7761,19,0.002448138126530086
group |group |Group |groups,2014100715,8494,25,0.002943254061690605
group |group |Group |groups,2014100807,6298,16,0.0025404890441409972
group |group |Group |groups,2014100519,13547,8,5.905366501808519E-4
group |group |Group |groups,2014100809,5933,12,0.0020225855385133996
group |group |Group |groups,2014100518,12589,12,9.532131225673207E-4
group |group |Group |groups,2014100808,7916,22,0.0027791814047498737
group |group |Group |groups,2014100410,8297,9,0.0010847294202723876
group |group |Group |groups,2014100412,8252,22,0.002666020358700921
group |group |Group |groups,2014100515,6526,5,7.661661048115232E-4
group |group |Group |groups,2014100411,8736,12,0.0013736263736263737
group |group |Group |groups,2014100514,7337,8,0.0010903639089546136
group |group |Group |groups,2014100414,8029,24,0.00298916427948686
group |group |Group |groups,2014100517,16635,10,6.011421701232341E-4
group |group |Group |groups,2014100413,7649,12,0.001568832527127729
group |group |Group |groups,2014100516,7164,8,0.0011166945840312675
group |group |Group |groups,2014100416,8535,28,0.0032806092560046865
group |group |Group |groups,2014100511,8203,15,0.0018285992929416067
group |group |Group |groups,2014100415,9288,17,0.0018303186907838072
group |group |Group |groups,2014100510,7389,14,0.0018947083502503723
group |group |Group |groups,2014100418,8794,9,0.0010234250625426426
group |group |Group |groups,2014100513,8653,12,0.0013868022651103663
group |group |Group |groups,2014100417,9001,13,0.0014442839684479503
group |group |Group |groups,2014100512,7658,8,0.0010446591799425438
group |group |Group |groups,2014100908,14247,37,0.002597037972906577
group |group |Group |groups,2014100907,7751,8,0.0010321248871113405
group |group |Group |groups,2014100419,8630,9,0.0010428736964078794
group |group |Group |groups,2014100909,1000,1,0.001
group |group |Group |groups,2014100721,11447,34,0.0029702105355114876
group |group |Group |groups,2014100722,8294,27,0.0032553653243308418
group |group |Group |groups,2014100720,10198,19,0.0018631104138066288
group |group |Group |groups,2014100723,5300,17,0.0032075471698113206
group |group |Group |groups,2014100520,14801,10,6.756300249983109E-4
group |group |Group |groups,2014100523,12605,5,3.966679888932963E-4
group |group |Group |groups,2014100522,10915,5,4.580852038479157E-4
group |group |Group |groups,2014100521,14363,5,3.4811668871405696E-4
group |group |Group |groups,2014100623,8800,1065,0.12102272727272727
group |group |Group |groups,2014100622,9000,12,0.0013333333333333333
group |group |Group |groups,2014100621,9007,6,6.661485511269013E-4
group |group |Group |groups,2014100620,8998,12,0.0013336296954878863
group |group |Group |groups,2014093011,9741,16,0.0016425418334873217
group |group |Group |groups,2014093012,11191,15,0.0013403627915289072
group |group |Group |groups,2014093013,5267,14,0.0026580596164799694
group |group |Group |groups,2014093017,3899,5,0.0012823800974608873
group |group |Group |groups,2014093018,99,0,0.0
group |group |Group |groups,2014093019,8564,21,0.0024521251751517983
