murder |murder |murders,2014100521,14363,14,9.747267283993595E-4
murder |murder |murders,2014100623,8800,5,5.681818181818182E-4
murder |murder |murders,2014100622,9000,8,8.888888888888889E-4
murder |murder |murders,2014100621,9007,5,5.55123792605751E-4
murder |murder |murders,2014100620,8998,6,6.668148477439431E-4
murder |murder |murders,2014093011,9741,1,1.026588645929576E-4
murder |murder |murders,2014093012,11191,4,3.574300777410419E-4
murder |murder |murders,2014093013,5267,2,3.7972280235428136E-4
murder |murder |murders,2014093017,3899,1,2.5647601949217746E-4
murder |murder |murders,2014093018,99,0,0.0
murder |murder |murders,2014093019,8564,1,1.1676786548341896E-4
